mof_id,archive_member,mapping_ok,error,all_cif_keys,charge_like_fields,charge_column,symbol_column,label_column,occupancy_column,atom_rows,numeric_charges,minimum_occupancy,charge_sum,occupancy_weighted_charge_sum,metal_atom_rows,elements,metals
DB0-m2_o23_o28_f0_nbo.sym.21,ARCMOF_20241004/DB0-m2_o23_o28_f0_nbo.sym.21_repeat.cif,True,,_audit_creation_date;_audit_creation_method;_cell_length_a;_cell_length_b;_cell_length_c;_cell_angle_alpha;_cell_angle_beta;_cell_angle_gamma;_cell_volume;_symmetry_space_group_name_H-M;_symmetry_Int_Tables_number;_symmetry_equiv_pos_site_id;_symmetry_equiv_pos_as_xyz;_atom_site_type_symbol;_atom_site_label;_atom_site_fract_x;_atom_site_fract_y;_atom_site_fract_z;_atom_type_partial_charge,"_atom_type_partial_charge[rows=476,numeric=476]",_atom_type_partial_charge,_atom_site_type_symbol,_atom_site_label,,476,476,1.0,1.999999997059909e-06,1.999999997059909e-06,12,C;Cu;H;N;O,Cu
DB0-m2_o23_o28_f0_nbo.sym.4,ARCMOF_20241004/DB0-m2_o23_o28_f0_nbo.sym.4_repeat.cif,True,,_audit_creation_date;_audit_creation_method;_cell_length_a;_cell_length_b;_cell_length_c;_cell_angle_alpha;_cell_angle_beta;_cell_angle_gamma;_cell_volume;_symmetry_space_group_name_H-M;_symmetry_Int_Tables_number;_symmetry_equiv_pos_site_id;_symmetry_equiv_pos_as_xyz;_atom_site_type_symbol;_atom_site_label;_atom_site_fract_x;_atom_site_fract_y;_atom_site_fract_z;_atom_type_partial_charge,"_atom_type_partial_charge[rows=464,numeric=464]",_atom_type_partial_charge,_atom_site_type_symbol,_atom_site_label,,464,464,1.0,-3.999999999226844e-06,-3.999999999226844e-06,12,C;Cu;H;N;O,Cu
DB0-m2_o6_o27_f0_nbo.sym.30,ARCMOF_20241004/DB0-m2_o6_o27_f0_nbo.sym.30_repeat.cif,True,,_audit_creation_date;_audit_creation_method;_cell_length_a;_cell_length_b;_cell_length_c;_cell_angle_alpha;_cell_angle_beta;_cell_angle_gamma;_cell_volume;_symmetry_space_group_name_H-M;_symmetry_Int_Tables_number;_symmetry_equiv_pos_site_id;_symmetry_equiv_pos_as_xyz;_atom_site_type_symbol;_atom_site_label;_atom_site_fract_x;_atom_site_fract_y;_atom_site_fract_z;_atom_type_partial_charge,"_atom_type_partial_charge[rows=332,numeric=332]",_atom_type_partial_charge,_atom_site_type_symbol,_atom_site_label,,332,332,1.0,-5.00000000069889e-06,-5.00000000069889e-06,12,C;Cu;H;N;O,Cu
DB0-m2_o7_o7_f0_nbo.sym.45,ARCMOF_20241004/DB0-m2_o7_o7_f0_nbo.sym.45_repeat.cif,True,,_audit_creation_date;_audit_creation_method;_cell_length_a;_cell_length_b;_cell_length_c;_cell_angle_alpha;_cell_angle_beta;_cell_angle_gamma;_cell_volume;_symmetry_space_group_name_H-M;_symmetry_Int_Tables_number;_symmetry_equiv_pos_site_id;_symmetry_equiv_pos_as_xyz;_atom_site_type_symbol;_atom_site_label;_atom_site_fract_x;_atom_site_fract_y;_atom_site_fract_z;_atom_type_partial_charge,"_atom_type_partial_charge[rows=348,numeric=348]",_atom_type_partial_charge,_atom_site_type_symbol,_atom_site_label,,348,348,1.0,-1.9999999995024e-06,-1.9999999995024e-06,12,C;Cu;H;I;O,Cu
DB0-m3_o11_o17_f0_pcu.sym.32,ARCMOF_20241004/DB0-m3_o11_o17_f0_pcu.sym.32_repeat.cif,True,,_audit_creation_date;_audit_creation_method;_cell_length_a;_cell_length_b;_cell_length_c;_cell_angle_alpha;_cell_angle_beta;_cell_angle_gamma;_cell_volume;_symmetry_space_group_name_H-M;_symmetry_Int_Tables_number;_symmetry_equiv_pos_site_id;_symmetry_equiv_pos_as_xyz;_atom_site_type_symbol;_atom_site_label;_atom_site_fract_x;_atom_site_fract_y;_atom_site_fract_z;_atom_type_partial_charge,"_atom_type_partial_charge[rows=56,numeric=56]",_atom_type_partial_charge,_atom_site_type_symbol,_atom_site_label,,56,56,1.0,-2.9999999999752447e-06,-2.9999999999752447e-06,2,C;H;N;O;Zn,Zn
DB0-m3_o12_o20_f0_pcu.sym.24,ARCMOF_20241004/DB0-m3_o12_o20_f0_pcu.sym.24_repeat.cif,True,,_audit_creation_date;_audit_creation_method;_cell_length_a;_cell_length_b;_cell_length_c;_cell_angle_alpha;_cell_angle_beta;_cell_angle_gamma;_cell_volume;_symmetry_space_group_name_H-M;_symmetry_Int_Tables_number;_symmetry_equiv_pos_site_id;_symmetry_equiv_pos_as_xyz;_atom_site_type_symbol;_atom_site_label;_atom_site_fract_x;_atom_site_fract_y;_atom_site_fract_z;_atom_type_partial_charge,"_atom_type_partial_charge[rows=44,numeric=44]",_atom_type_partial_charge,_atom_site_type_symbol,_atom_site_label,,44,44,1.0,9.999999993071107e-07,9.999999993071107e-07,2,C;H;N;O;Zn,Zn
DB0-m3_o152_o155_f0_fsc.sym.27,ARCMOF_20241004/DB0-m3_o152_o155_f0_fsc.sym.27_repeat.cif,True,,_audit_creation_date;_audit_creation_method;_cell_length_a;_cell_length_b;_cell_length_c;_cell_angle_alpha;_cell_angle_beta;_cell_angle_gamma;_cell_volume;_symmetry_space_group_name_H-M;_symmetry_Int_Tables_number;_symmetry_equiv_pos_site_id;_symmetry_equiv_pos_as_xyz;_atom_site_type_symbol;_atom_site_label;_atom_site_fract_x;_atom_site_fract_y;_atom_site_fract_z;_atom_type_partial_charge,"_atom_type_partial_charge[rows=84,numeric=84]",_atom_type_partial_charge,_atom_site_type_symbol,_atom_site_label,,84,84,1.0,2.000000001334268e-06,2.000000001334268e-06,2,C;H;N;O;Zn,Zn
DB0-m3_o440_o155_f0_fsc.sym.26,ARCMOF_20241004/DB0-m3_o440_o155_f0_fsc.sym.26_repeat.cif,True,,_audit_creation_date;_audit_creation_method;_cell_length_a;_cell_length_b;_cell_length_c;_cell_angle_alpha;_cell_angle_beta;_cell_angle_gamma;_cell_volume;_symmetry_space_group_name_H-M;_symmetry_Int_Tables_number;_symmetry_equiv_pos_site_id;_symmetry_equiv_pos_as_xyz;_atom_site_type_symbol;_atom_site_label;_atom_site_fract_x;_atom_site_fract_y;_atom_site_fract_z;_atom_type_partial_charge,"_atom_type_partial_charge[rows=84,numeric=84]",_atom_type_partial_charge,_atom_site_type_symbol,_atom_site_label,,84,84,1.0,-2.7755575615628914e-16,-2.7755575615628914e-16,2,C;H;N;O;Zn,Zn
DB0-m3_o6_o27_f0_nbo.sym.33,ARCMOF_20241004/DB0-m3_o6_o27_f0_nbo.sym.33_repeat.cif,True,,_audit_creation_date;_audit_creation_method;_cell_length_a;_cell_length_b;_cell_length_c;_cell_angle_alpha;_cell_angle_beta;_cell_angle_gamma;_cell_volume;_symmetry_space_group_name_H-M;_symmetry_Int_Tables_number;_symmetry_equiv_pos_site_id;_symmetry_equiv_pos_as_xyz;_atom_site_type_symbol;_atom_site_label;_atom_site_fract_x;_atom_site_fract_y;_atom_site_fract_z;_atom_type_partial_charge,"_atom_type_partial_charge[rows=332,numeric=332]",_atom_type_partial_charge,_atom_site_type_symbol,_atom_site_label,,332,332,1.0,-2.0000000011677344e-06,-2.0000000011677344e-06,12,C;H;N;O;Zn,Zn
DB0-m3_o7_o7_f0_nbo.sym.48,ARCMOF_20241004/DB0-m3_o7_o7_f0_nbo.sym.48_repeat.cif,True,,_audit_creation_date;_audit_creation_method;_cell_length_a;_cell_length_b;_cell_length_c;_cell_angle_alpha;_cell_angle_beta;_cell_angle_gamma;_cell_volume;_symmetry_space_group_name_H-M;_symmetry_Int_Tables_number;_symmetry_equiv_pos_site_id;_symmetry_equiv_pos_as_xyz;_atom_site_type_symbol;_atom_site_label;_atom_site_fract_x;_atom_site_fract_y;_atom_site_fract_z;_atom_type_partial_charge,"_atom_type_partial_charge[rows=348,numeric=348]",_atom_type_partial_charge,_atom_site_type_symbol,_atom_site_label,,348,348,1.0,-1.999999998503199e-06,-1.999999998503199e-06,12,C;H;I;O;Zn,Zn
