mof_id,atom_rows,charge_sum,occupancy_weighted_charge_sum,charge_mean,charge_std,charge_min,charge_max,metal_rows
DB0-m2_o23_o28_f0_nbo.sym.21,476,1.9999999993532136e-06,1.9999999993532136e-06,4.201680670910113e-09,0.3854368591155537,-0.656966,1.104982,12
DB0-m2_o23_o28_f0_nbo.sym.4,464,-4.000000000378701e-06,-4.000000000378701e-06,-8.620689655988579e-09,0.3948696436255868,-0.66145,1.104803,12
DB0-m2_o6_o27_f0_nbo.sym.30,332,-5.000000000254801e-06,-5.000000000254801e-06,-1.5060240964622893e-08,0.49990520846642283,-0.719118,1.035302,12
DB0-m2_o7_o7_f0_nbo.sym.45,348,-1.9999999999794488e-06,-1.9999999999794488e-06,-5.747126436722554e-09,0.302494749696214,-0.443347,0.782937,12
DB0-m3_o11_o17_f0_pcu.sym.32,56,-3.000000000086267e-06,-3.000000000086267e-06,-5.357142857296905e-08,0.4333100056745189,-0.695444,1.093197,2
DB0-m3_o12_o20_f0_pcu.sym.24,44,1.0000000001952891e-06,1.0000000001952891e-06,2.2727272731711115e-08,0.5017889106115906,-0.703752,1.018721,2
DB0-m3_o152_o155_f0_fsc.sym.27,84,2.000000000002e-06,2.000000000002e-06,2.380952380954762e-08,0.4011731987346155,-0.755393,1.047046,2
DB0-m3_o440_o155_f0_fsc.sym.26,84,-5.551115123125783e-17,-5.551115123125783e-17,-6.60847038467355e-19,0.42126385227236074,-0.736762,1.042637,2
DB0-m3_o6_o27_f0_nbo.sym.33,332,-2.0000000003905782e-06,-2.0000000003905782e-06,-6.0240963867186094e-09,0.5125448801144252,-0.716129,1.331516,12
DB0-m3_o7_o7_f0_nbo.sym.48,348,-1.9999999994364803e-06,-1.9999999994364803e-06,-5.7471264351622996e-09,0.42107937318571237,-0.665285,1.295817,12
DB0-m9_o17_o27_f0_sra.sym.116,134,1.0000000003618226e-06,1.0000000003618226e-06,7.462686569864348e-09,0.4164638500150894,-0.614516,1.396313,4
DB0-m9_o17_o27_f0_sra.sym.117,134,3.000000000141778e-06,3.000000000141778e-06,2.2388059702550584e-08,0.4033778681076338,-0.598849,1.378165,4
