figure,purpose,source_basename,upstream_path,upstream_sha256,packaged_path,packaged_sha256,filtered_to_six_cases,source_rows,packaged_rows,status
1,Support across fixed geometry tiers,caliper_sensitivity_support.csv,C:\Users\KaraPardazesh\Desktop\7B2\analysis\caliper_sensitivity_support.csv,579036090055629cec1ca08301baadc6403e17ebea101192f7abd8eb395ae609,C:\Users\KaraPardazesh\Desktop\7B2\Step 3 results\figure_source_data\Figure_01\04_caliper_sensitivity_support.csv,579036090055629cec1ca08301baadc6403e17ebea101192f7abd8eb395ae609,False,12.0,12.0,PACKAGED
1,Frozen adsorption integration summary,corrected_effect_run_summary.csv,C:\Users\KaraPardazesh\Desktop\7B2\analysis\corrected_effect_run_summary.csv,19c540a9dbaba4b38033843744b5a913cf65a4d226ba3a787e0c4caf4f8a7351,C:\Users\KaraPardazesh\Desktop\7B2\Step 3 results\figure_source_data\Figure_01\04_corrected_effect_run_summary.csv,19c540a9dbaba4b38033843744b5a913cf65a4d226ba3a787e0c4caf4f8a7351,False,3.0,3.0,PACKAGED
1,Frozen primary pair counts by intervention,final_primary_pair_counts.csv,C:\Users\KaraPardazesh\Desktop\7B2\analysis\final_primary_pair_counts.csv,c13dd2b7d65956e77190d771e21950d13cbd2fa0a0c42cacb089b34a3dbc775f,C:\Users\KaraPardazesh\Desktop\7B2\Step 3 results\figure_source_data\Figure_01\04_final_primary_pair_counts.csv,c13dd2b7d65956e77190d771e21950d13cbd2fa0a0c42cacb089b34a3dbc775f,False,3.0,3.0,PACKAGED
1,CIF and selected-case inspection provenance,inspection_manifest.json,C:\Users\KaraPardazesh\Desktop\7B2\analysis\final_structure_case_inspection\inspection_manifest.json,90dcfee16d8f24f2c6d2dc017bd725466502e4a798a7d9d7e57fb4a9139753a9,C:\Users\KaraPardazesh\Desktop\7B2\Step 3 results\figure_source_data\Figure_01\04_inspection_manifest.json,90dcfee16d8f24f2c6d2dc017bd725466502e4a798a7d9d7e57fb4a9139753a9,False,,,PACKAGED
2,Residual-geometry-adjusted linker sensitivity,03_results.csv,C:\Users\KaraPardazesh\Desktop\7B2\Step 2 results\residual_adjustment\03_results.csv,e6cc18bdae556700a54fea45e3b10f12fc4306bfc2cc4e16a6ac1be7df75e4d6,C:\Users\KaraPardazesh\Desktop\7B2\Step 3 results\figure_source_data\Figure_02\04_03_results.csv,e6cc18bdae556700a54fea45e3b10f12fc4306bfc2cc4e16a6ac1be7df75e4d6,False,36.0,36.0,PACKAGED
2,Condition-level energetic association,heat_adsorption_condition_results.csv,C:\Users\KaraPardazesh\Desktop\7B2\Step 2 results\heat_analysis\heat_adsorption_condition_results.csv,cc1ae1f29329c176c6b88c31bb24a1214d031cea31ad71fc0186b0e471ee0cda,C:\Users\KaraPardazesh\Desktop\7B2\Step 3 results\figure_source_data\Figure_02\04_heat_adsorption_condition_results.csv,cc1ae1f29329c176c6b88c31bb24a1214d031cea31ad71fc0186b0e471ee0cda,False,108.0,108.0,PACKAGED
2,Primary same-chemistry controls,step3_same_chemistry_control_results.csv,C:\Users\KaraPardazesh\Desktop\7B2\analysis\step3_same_chemistry_control_results.csv,e6ca9c0823e739df68979ce783480bb76c308ee0d1592ba2011218f25455417e,C:\Users\KaraPardazesh\Desktop\7B2\Step 3 results\figure_source_data\Figure_02\04_step3_same_chemistry_control_results.csv,e6ca9c0823e739df68979ce783480bb76c308ee0d1592ba2011218f25455417e,False,162.0,162.0,PACKAGED
2,Symmetric same-chemistry controls,step5b_symmetric_control_results.csv,C:\Users\KaraPardazesh\Desktop\7B2\analysis\step5b_symmetric_control_results.csv,790b4df026379930029f6c9bba6742ee22bcd8d34a76ba6ebf8924c4d02c6005,C:\Users\KaraPardazesh\Desktop\7B2\Step 3 results\figure_source_data\Figure_02\04_step5b_symmetric_control_results.csv,790b4df026379930029f6c9bba6742ee22bcd8d34a76ba6ebf8924c4d02c6005,False,162.0,162.0,PACKAGED
3,Paired guest-specificity results,05_results.csv,C:\Users\KaraPardazesh\Desktop\7B2\Step 2 results\guest_specificity\05_results.csv,85b3440afe0ae04b13befca549041bdc1e5848c195eba2b96a1e47c35d43526f,C:\Users\KaraPardazesh\Desktop\7B2\Step 3 results\figure_source_data\Figure_03\04_05_results.csv,85b3440afe0ae04b13befca549041bdc1e5848c195eba2b96a1e47c35d43526f,False,48.0,48.0,PACKAGED
3,Guest-specificity summary,05_summary.csv,C:\Users\KaraPardazesh\Desktop\7B2\Step 2 results\guest_specificity\05_summary.csv,b46d11f8ccd2ca7ed480bdbcb5484ed3d61766a5cd30c10c23ba8bf1b9de856c,C:\Users\KaraPardazesh\Desktop\7B2\Step 3 results\figure_source_data\Figure_03\04_05_summary.csv,b46d11f8ccd2ca7ed480bdbcb5484ed3d61766a5cd30c10c23ba8bf1b9de856c,False,6.0,6.0,PACKAGED
