quantity,intervention,comparison,guest_class,regime,T/K,CO2_target,coguest_target,CO2_pressure_bar,coguest_pressure_bar,measure,paired_groups,status,median_CO2,median_coguest,median_paired_difference_CO2_minus_coguest,median_bootstrap_95_low,median_bootstrap_95_high,mean_paired_difference_CO2_minus_coguest,mean_bootstrap_95_low,mean_bootstrap_95_high,fraction_groups_CO2_greater,fraction_bootstrap_95_low,fraction_bootstrap_95_high
adsorption_separation,linker_family_change,landfill_CO2_vs_CH4,CO2_vs_CH4,low,338.0,landfill_CO2,landfill_CH4,0.26,0.01,absolute_log_difference,3494,OK,0.13750859749525857,0.08102741782586409,0.0502605079468777,0.04408692117787444,0.05511119526232628,0.0670775442747266,0.06229512902294164,0.07181434206238764,0.6900400686891814,0.6742987979393246,0.7054951345163136
adsorption_separation,linker_family_change,landfill_CO2_vs_CH4,CO2_vs_CH4,low,338.0,landfill_CO2,landfill_CH4,0.26,0.01,standardized_absolute_difference,3494,OK,0.16011869216931746,0.2027004129479152,-0.02062477045159644,-0.02714669565890815,-0.013383604928174789,0.03619171074469722,0.022907285740076666,0.04934610049370335,0.45163136805953064,0.434745277618775,0.4682312535775615
heat_contrast,linker_family_change,landfill_CO2_vs_CH4,CO2_vs_CH4,low,338.0,landfill_CO2,landfill_CH4,0.26,0.01,absolute_hoa_difference,3494,OK,0.29551399999999983,0.11584850000000002,0.16122599999999987,0.15037049999999996,0.1701586562500003,0.21526381339439038,0.20587050686176303,0.22513979080566687,0.797366914710933,0.7839152833428735,0.8108185460789925
adsorption_separation,linker_family_change,landfill_CO2_vs_CH4,CO2_vs_CH4,high,338.0,landfill_CO2,landfill_CH4,3.2,4.4,absolute_log_difference,3494,OK,0.07309168006986524,0.04995749772558977,0.01985444464541375,0.017264058528497717,0.022054247673902516,0.021366746519405427,0.018092648278084236,0.024670496609007414,0.6376645678305667,0.6213508872352604,0.6536920435031482
adsorption_separation,linker_family_change,landfill_CO2_vs_CH4,CO2_vs_CH4,high,338.0,landfill_CO2,landfill_CH4,3.2,4.4,standardized_absolute_difference,3494,OK,0.14389900362588595,0.1894819462215172,-0.038260873435875746,-0.04411090990744165,-0.032699959329807085,-0.06086706696728373,-0.06909268131485725,-0.052830156536461885,0.386090440755581,0.3697767601602748,0.4024041213508872
heat_contrast,linker_family_change,landfill_CO2_vs_CH4,CO2_vs_CH4,high,338.0,landfill_CO2,landfill_CH4,3.2,4.4,absolute_hoa_difference,3494,OK,0.4362425000000001,0.22801525,0.14324599999999998,0.1282875000000001,0.1573789999999997,0.18605759430452207,0.16928188438752148,0.20318231031053233,0.6846021751574127,0.6688609044075559,0.6997710360618202
adsorption_separation,linker_family_change,methane_purification_CO2_vs_CH4,CO2_vs_CH4,low,298.0,methane_purification_CO2,methane_purification_CH4,0.1,0.9,absolute_log_difference,3494,OK,0.14488558747986485,0.07515671222539677,0.059276062608617924,0.05397612050429332,0.06417707948233292,0.08075780641312082,0.07580968920238201,0.08556693969031785,0.7203777904979966,0.7057813394390383,0.7355466514024042
adsorption_separation,linker_family_change,methane_purification_CO2_vs_CH4,CO2_vs_CH4,low,298.0,methane_purification_CO2,methane_purification_CH4,0.1,0.9,standardized_absolute_difference,3494,OK,0.12968052897385923,0.12572162527151948,0.0044009359462061325,0.0004178010424675096,0.0087583649082421,0.0662840161293095,0.05504522440138339,0.0776773079392236,0.5186033199771036,0.5022896393817974,0.5352032054951346
heat_contrast,linker_family_change,methane_purification_CO2_vs_CH4,CO2_vs_CH4,low,298.0,methane_purification_CO2,methane_purification_CH4,0.1,0.9,absolute_hoa_difference,3494,OK,0.36070900000000017,0.1557210000000001,0.17753399999999964,0.16546211249999984,0.18898699999999957,0.23661587321121924,0.22424001671794505,0.24905866967658843,0.7552947910704064,0.7412707498568976,0.76960503720664
adsorption_separation,linker_family_change,methane_purification_CO2_vs_CH4,CO2_vs_CH4,high,298.0,methane_purification_CO2,methane_purification_CH4,1.0,9.0,absolute_log_difference,3494,OK,0.09297059992867984,0.046903353267251646,0.04103937811127828,0.03795496663897979,0.044283294589804005,0.05508358294960928,0.05177759421490804,0.05844070545673113,0.7355466514024042,0.7209502003434459,0.750429307384087
