framework_id,endpoint,pair_key,selection_category,intervention,transition
DB0-m3_o11_o17_f0_pcu.sym.32,a,DB0-m3_o11_o17_f0_pcu.sym.32 || DB0-m3_o12_o20_f0_pcu.sym.24,strong_linker_process_aligned,linker_family_change,-49301 <-> -6941
DB0-m3_o12_o20_f0_pcu.sym.24,b,DB0-m3_o11_o17_f0_pcu.sym.32 || DB0-m3_o12_o20_f0_pcu.sym.24,strong_linker_process_aligned,linker_family_change,-49301 <-> -6941
DB0-m3_o7_o7_f0_nbo.sym.48,a,DB0-m2_o7_o7_f0_nbo.sym.45 || DB0-m3_o7_o7_f0_nbo.sym.48,strong_metal_process_aligned,metal_substitution,Cu <-> Zn
DB0-m2_o7_o7_f0_nbo.sym.45,b,DB0-m2_o7_o7_f0_nbo.sym.45 || DB0-m3_o7_o7_f0_nbo.sym.48,strong_metal_process_aligned,metal_substitution,Cu <-> Zn
DB0-m3_o6_o27_f0_nbo.sym.33,a,DB0-m2_o6_o27_f0_nbo.sym.30 || DB0-m3_o6_o27_f0_nbo.sym.33,cu_zn_pressure_exception,metal_substitution,Cu <-> Zn
DB0-m2_o6_o27_f0_nbo.sym.30,b,DB0-m2_o6_o27_f0_nbo.sym.30 || DB0-m3_o6_o27_f0_nbo.sym.33,cu_zn_pressure_exception,metal_substitution,Cu <-> Zn
DB0-m2_o23_o28_f0_nbo.sym.21,a,DB0-m2_o23_o28_f0_nbo.sym.21 || DB0-m2_o23_o28_f0_nbo.sym.4,near_null_comparison,linker_family_change,40141 <-> 43459
DB0-m2_o23_o28_f0_nbo.sym.4,b,DB0-m2_o23_o28_f0_nbo.sym.21 || DB0-m2_o23_o28_f0_nbo.sym.4,near_null_comparison,linker_family_change,40141 <-> 43459
DB0-m3_o440_o155_f0_fsc.sym.26,a,DB0-m3_o152_o155_f0_fsc.sym.27 || DB0-m3_o440_o155_f0_fsc.sym.26,process_discordant_comparison,linker_family_change,55140 <-> 60577
DB0-m3_o152_o155_f0_fsc.sym.27,b,DB0-m3_o152_o155_f0_fsc.sym.27 || DB0-m3_o440_o155_f0_fsc.sym.26,process_discordant_comparison,linker_family_change,55140 <-> 60577
DB0-m9_o17_o27_f0_sra.sym.117,a,DB0-m9_o17_o27_f0_sra.sym.116 || DB0-m9_o17_o27_f0_sra.sym.117,functional_motif_example,functional_motif_change,-2360 <-> 15980
DB0-m9_o17_o27_f0_sra.sym.116,b,DB0-m9_o17_o27_f0_sra.sym.116 || DB0-m9_o17_o27_f0_sra.sym.117,functional_motif_example,functional_motif_change,-2360 <-> 15980
