target,T/K,p/bar,source_rows,minimum_positive_uptake,epsilon_primary,epsilon_sensitivity,uptake_q1,uptake_q3,robust_scale_iqr_over_1_349,functional_motif_change,linker_family_change,metal_substitution
landfill_CH4,338.0,0.01,279610,1e-06,1e-08,9.999999999999999e-10,0.009666,0.017173,0.0055648628613788,1.0,1.0,1.0
landfill_CH4,338.0,4.4,279610,1e-06,1e-08,9.999999999999999e-10,1.25872725,1.8114855,0.4097540770941437,1.0,1.0,1.0
landfill_CO2,338.0,0.26,279610,4e-06,4e-08,3.9999999999999994e-09,0.247956,0.704353,0.3383224610822832,1.0,1.0,1.0
landfill_CO2,338.0,3.2,279610,4e-06,4e-08,3.9999999999999994e-09,2.650561,5.085138499999999,1.8047275759822088,1.0,1.0,1.0
methane_storage_CH4,298.0,5.8,279610,5e-06,5e-08,5e-09,3.10265825,5.1876215,1.5455620830244623,1.0,1.0,1.0
methane_storage_CH4,298.0,65.0,279610,4e-06,4e-08,3.9999999999999994e-09,10.7545755,19.84731525,6.740355633802818,1.0,1.0,1.0
methane_purification_CH4,298.0,0.9,279609,2e-06,2e-08,1.9999999999999997e-09,0.527931,1.193629,0.4934751667902149,1.0,1.0,1.0
methane_purification_CH4,298.0,9.0,279610,4e-06,4e-08,3.9999999999999994e-09,3.93594425,5.77881075,1.3660982209043735,1.0,1.0,1.0
methane_purification_CO2,298.0,0.1,279609,4e-06,4e-08,3.9999999999999994e-09,0.22937,0.816658,0.4353506300963677,1.0,1.0,1.0
methane_purification_CO2,298.0,1.0,279610,4e-06,4e-08,3.9999999999999994e-09,1.85381575,3.8324775,1.4667618606375092,1.0,1.0,1.0
post_combustion_CO2,298.0,0.015,279610,3e-06,3.0000000000000004e-08,3e-09,0.057355,0.15771675,0.0743971460340993,1.0,1.0,1.0
post_combustion_CO2,298.0,0.15,279610,1e-06,1e-08,9.999999999999999e-10,0.32161925,1.28842775,0.7166853224610823,1.0,1.0,1.0
post_combustion_N2,298.0,0.075,279610,5e-06,5e-08,5e-09,0.0272,0.03577,0.0063528539659006,1.0,1.0,1.0
post_combustion_N2,298.0,0.75,279610,1.3e-05,1.3e-07,1.3e-08,0.130173,0.174595,0.0329295774647887,1.0,1.0,1.0
pre_combustion_CO2,313.0,0.4,279610,4e-06,4e-08,3.9999999999999994e-09,0.580207,1.99224775,1.046731467753892,1.0,1.0,1.0
pre_combustion_CO2,313.0,16.0,279485,2e-06,2e-08,1.9999999999999997e-09,12.337041,20.473715,6.031633802816901,1.0,0.9997579083279536,0.9985163204747776
pre_combustion_H2,313.0,0.6,279610,5e-06,5e-08,5e-09,0.046524,0.08545275,0.0288574870274277,1.0,1.0,1.0
pre_combustion_H2,313.0,24.0,279485,6e-06,6.000000000000002e-08,6e-09,0.143488,0.865489,0.535212008895478,1.0,0.9997579083279536,0.9985163204747776
