intervention,target,T/K,p/bar,expected_pair_rows,unique_pairs,hoa_complete_pair_rows,both_stdev_valid_pair_rows,groups_expected,groups_with_complete_hoa,hoa_a_min,hoa_a_median,hoa_a_max,hoa_b_min,hoa_b_median,hoa_b_max,median_absolute_hoa_difference,hoa_pair_coverage,hoa_stdev_pair_coverage
functional_motif_change,landfill_CH4,338.0,0.01,6,6,6,6,6,6,2.174516,2.6180695,3.720188,2.119565,2.5857525,3.639411,0.06084149999999999,1.0,1.0
functional_motif_change,landfill_CH4,338.0,4.4,6,6,6,6,6,6,2.267768,2.655414,3.63828,2.188517,2.6766525,3.883211,0.08439799999999975,1.0,1.0
functional_motif_change,landfill_CO2,338.0,0.26,6,6,6,6,6,6,3.316114,4.179259500000001,4.91423,3.495949,3.8358995,5.070499,0.14723550000000007,1.0,1.0
functional_motif_change,landfill_CO2,338.0,3.2,6,6,6,6,6,6,3.30066,3.4773465,4.080184,3.502334,4.2758935000000005,5.885884,0.6971610000000001,1.0,1.0
functional_motif_change,methane_purification_CH4,298.0,0.9,6,6,6,6,6,6,2.194458,2.562614,3.735363,2.324124,2.6191519999999997,3.715026,0.12306749999999989,1.0,1.0
functional_motif_change,methane_purification_CH4,298.0,9.0,6,6,6,6,6,6,2.242172,2.579861,3.509788,2.558791,2.754858,3.003401,0.210248,1.0,1.0
functional_motif_change,methane_purification_CO2,298.0,0.1,6,6,6,6,6,6,3.770259,4.6596685,5.292673,3.526276,4.7155115,5.119954,0.22662600000000044,1.0,1.0
functional_motif_change,methane_purification_CO2,298.0,1.0,6,6,6,6,6,6,3.428714,4.4052185,5.419651,3.316231,3.9649225,4.52608,0.3173089999999996,1.0,1.0
functional_motif_change,methane_storage_CH4,298.0,5.8,6,6,6,6,6,6,2.236304,2.6237095,3.829609,2.30511,2.6248185,3.614085,0.0554110000000001,1.0,1.0
functional_motif_change,methane_storage_CH4,298.0,65.0,6,6,6,6,6,6,2.661154,3.0059135,3.984079,2.680596,3.020626,3.810566,0.019618499999999983,1.0,1.0
functional_motif_change,post_combustion_CO2,298.0,0.015,6,6,6,6,6,6,3.475591,4.680754,5.556063,4.194924,4.4671685,4.993943,0.24130100000000043,1.0,1.0
functional_motif_change,post_combustion_CO2,298.0,0.15,6,6,6,6,6,6,3.970944,4.2175080000000005,5.731931,3.563459,4.254129000000001,4.73149,0.4350229999999997,1.0,1.0
functional_motif_change,post_combustion_N2,298.0,0.075,6,6,6,6,6,6,1.399987,1.6944080000000001,2.450829,1.404248,1.6185415,2.01067,0.10648999999999997,1.0,1.0
functional_motif_change,post_combustion_N2,298.0,0.75,6,6,6,6,6,6,1.390961,1.7176135000000001,2.24603,1.520186,1.6519975,2.14736,0.09111750000000018,1.0,1.0
functional_motif_change,pre_combustion_CO2,313.0,0.4,6,6,6,6,6,6,3.519735,4.412851,5.030179,3.522547,4.11451,4.3479,0.30248300000000006,1.0,1.0
functional_motif_change,pre_combustion_CO2,313.0,16.0,6,6,6,6,6,6,3.434314,4.5894875,7.382803,3.810367,4.293215,5.644406,0.3140099999999997,1.0,1.0
functional_motif_change,pre_combustion_H2,313.0,0.6,6,6,6,6,6,6,1.005087,1.0781375,1.412481,0.979718,1.090908,1.395407,0.027448999999999946,1.0,1.0
functional_motif_change,pre_combustion_H2,313.0,24.0,6,6,6,6,6,6,1.049957,1.4083485,2.105847,0.870715,0.993872,1.468245,0.5041599999999999,1.0,1.0
linker_family_change,landfill_CH4,338.0,0.01,12392,12392,12392,12392,3494,3494,1.196507,2.5941419999999997,7.34446,1.227801,2.582273,7.776573,0.12297900000000006,1.0,1.0
linker_family_change,landfill_CH4,338.0,4.4,12392,12392,12392,12392,3494,3494,1.187559,2.648867,9.202445,1.133378,2.645147,9.402468,0.1956545000000003,1.0,1.0
linker_family_change,landfill_CO2,338.0,0.26,12392,12392,12392,12392,3494,3494,1.720311,4.0615165,12.286987,1.666767,4.060477,11.711998,0.2922655000000003,1.0,1.0
linker_family_change,landfill_CO2,338.0,3.2,12392,12392,12392,12392,3494,3494,1.489176,4.0509625,13.72849,1.489176,4.005954,13.72849,0.4049580000000004,1.0,1.0
linker_family_change,methane_purification_CH4,298.0,0.9,12392,12392,12392,12392,3494,3494,1.2582,2.644292,7.577358,1.27496,2.640175,8.829786,0.14832000000000012,1.0,1.0
linker_family_change,methane_purification_CH4,298.0,9.0,12392,12392,12392,12392,3494,3494,0.807865,2.6527244999999997,9.977322,0.984138,2.669138,9.70718,0.2222685000000002,1.0,1.0
linker_family_change,methane_purification_CO2,298.0,0.1,12392,12392,12392,12392,3494,3494,2.016289,4.4934425000000005,11.992046,1.952743,4.529118,11.992046,0.3501635000000003,1.0,1.0
linker_family_change,methane_purification_CO2,298.0,1.0,12392,12392,12392,12392,3494,3494,1.872812,4.511385,14.942334,1.896324,4.5245925,14.942334,0.5211564999999998,1.0,1.0
linker_family_change,methane_storage_CH4,298.0,5.8,12392,12392,12392,12392,3494,3494,1.32551,2.6283585,7.569672,1.308175,2.628339,7.002291,0.10556599999999983,1.0,1.0
linker_family_change,methane_storage_CH4,298.0,65.0,12392,12392,12392,12392,3494,3494,1.540919,2.972451,6.721261,1.596618,2.969446,7.624293,0.08951949999999975,1.0,1.0
linker_family_change,post_combustion_CO2,298.0,0.015,12392,12392,12392,12392,3494,3494,1.949436,4.518554,11.935948,1.919479,4.526273,11.935948,0.3414975,1.0,1.0
linker_family_change,post_combustion_CO2,298.0,0.15,12392,12392,12392,12392,3494,3494,1.855048,4.425928,12.035868,1.855048,4.454116,11.910853,0.3375900000000003,1.0,1.0
linker_family_change,post_combustion_N2,298.0,0.075,12392,12392,12392,12392,3494,3494,0.9338,1.781685,5.617286,0.928579,1.767325,5.52861,0.08758050000000006,1.0,1.0
linker_family_change,post_combustion_N2,298.0,0.75,12392,12392,12392,12392,3494,3494,0.897465,1.7856225000000001,5.010163,0.920432,1.779414,5.857938,0.09294449999999999,1.0,1.0
linker_family_change,pre_combustion_CO2,313.0,0.4,12392,12392,12392,12392,3494,3494,1.846619,4.19272,12.42146,1.800145,4.226007,12.42146,0.311785,1.0,1.0
linker_family_change,pre_combustion_CO2,313.0,16.0,12392,12392,12389,12389,3494,3491,2.110812,4.515493,15.107705,1.997795,4.5172555,15.107705,0.39595999999999965,0.9997579083279535,0.9997579083279535
linker_family_change,pre_combustion_H2,313.0,0.6,12392,12392,12392,12392,3494,3494,0.729768,1.0792925000000002,2.729384,0.744974,1.078235,2.87677,0.02801350000000008,1.0,1.0
linker_family_change,pre_combustion_H2,313.0,24.0,12392,12392,12389,12389,3494,3491,-0.030857,1.366975,4.453,-0.225406,1.395641,3.82487,0.158435,0.9997579083279535,0.9997579083279535
metal_substitution,landfill_CH4,338.0,0.01,674,674,674,668,453,453,1.333996,3.8356735,7.600648,1.376173,3.800558,7.441898,0.07145500000000027,1.0,0.9910979228486647
metal_substitution,landfill_CH4,338.0,4.4,674,674,674,674,453,453,1.141443,4.1101565,8.380365,1.292842,4.024365,8.383039,0.3147089999999999,1.0,1.0
metal_substitution,landfill_CO2,338.0,0.26,674,674,674,674,453,453,1.978906,5.1812405,16.042056,1.975705,5.253651,16.345304,0.27736150000000004,1.0,1.0
metal_substitution,landfill_CO2,338.0,3.2,674,674,674,674,453,453,2.03587,5.517186,16.100254,1.917658,5.5333475,16.780985,0.5101849999999999,1.0,1.0
metal_substitution,methane_purification_CH4,298.0,0.9,674,674,674,674,453,453,1.343811,3.8570595,9.759956,1.347749,3.8209660000000003,8.416905,0.12528800000000007,1.0,1.0
metal_substitution,methane_purification_CH4,298.0,9.0,674,674,674,674,453,453,1.349477,3.985357,10.809767,1.210796,3.9818625,9.260188,0.366341,1.0,1.0
metal_substitution,methane_purification_CO2,298.0,0.1,674,674,674,674,453,453,2.076671,5.484363500000001,16.276063,2.178728,5.5317255,17.466041,0.4186239999999999,1.0,1.0
metal_substitution,methane_purification_CO2,298.0,1.0,674,674,674,674,453,453,2.022296,5.753498,18.063225,2.048834,5.736166,17.503456,0.7426315000000001,1.0,1.0
metal_substitution,methane_storage_CH4,298.0,5.8,674,674,674,674,453,453,1.471094,3.878489,8.289149,1.424391,3.89092,7.997667,0.07236999999999982,1.0,1.0
metal_substitution,methane_storage_CH4,298.0,65.0,674,674,674,674,453,453,1.615284,4.3167755,8.058453,1.593045,4.2981055,74.338419,0.10821000000000014,1.0,1.0
metal_substitution,post_combustion_CO2,298.0,0.015,674,674,674,674,453,453,2.148277,5.4315245,16.149298,1.909446,5.4954515,15.829992,0.30369,1.0,1.0
metal_substitution,post_combustion_CO2,298.0,0.15,674,674,674,674,453,453,2.004501,5.392423,15.659627,1.985345,5.4009540000000005,15.659627,0.333291,1.0,1.0
metal_substitution,post_combustion_N2,298.0,0.075,674,674,674,674,453,453,0.936868,2.2428215,12.061365,0.943274,2.254307,11.551077,0.07902300000000007,1.0,1.0
metal_substitution,post_combustion_N2,298.0,0.75,674,674,674,674,453,453,0.92242,2.303114,9.979805,0.890214,2.289194,9.979805,0.09928449999999989,1.0,1.0
metal_substitution,pre_combustion_CO2,313.0,0.4,674,674,674,674,453,453,1.945943,5.3483315000000005,15.331948,1.970225,5.32715,16.235838,0.3048519999999999,1.0,1.0
metal_substitution,pre_combustion_CO2,313.0,16.0,674,674,673,669,453,452,2.072235,6.848471,15.80675,2.15195,6.897252,80.048715,0.5646990000000001,0.9985163204747775,0.9925816023738873
metal_substitution,pre_combustion_H2,313.0,0.6,674,674,674,674,453,453,0.747116,1.5024045,2.810747,0.753301,1.5048335000000002,2.916605,0.027200500000000072,1.0,1.0
