"path","filename","extension","size_MB","modified_date","category","likely_role","notes"
"analysis\7B2_heat_audit","7B2_heat_audit_manifest.json",".json","0.002372","2026-08-02T20:00:09+03:30","provenance_manifest","Manifest, hash, restart, or provenance record indicated by filename/content type","Role based only on path, filename, and extension"
"analysis\7B2_heat_audit","7B2_heat_group_support.csv",".csv","0.000194","2026-08-02T20:00:08+03:30","tabular_data","Tabular dataset; role inferred only from path and filename","Role based only on path, filename, and extension"
"analysis\7B2_heat_audit","7B2_heat_pair_coverage.csv",".csv","0.004642","2026-08-02T20:00:08+03:30","tabular_data","Tabular dataset; role inferred only from path and filename","Role based only on path, filename, and extension"
"analysis\7B2_heat_audit","7B2_heat_source_coverage.csv",".csv","0.001084","2026-08-02T20:00:07+03:30","tabular_data","Tabular dataset; role inferred only from path and filename","Role based only on path, filename, and extension"
"analysis\7B2_heat_audit","7B2_heat_unmatched_targets.csv",".csv","0.000856","2026-08-02T20:00:07+03:30","tabular_data","Tabular dataset; role inferred only from path and filename","Role based only on path, filename, and extension"
"analysis\7B2_heat_audit","7B2_heat_viability_report.txt",".txt","0.000916","2026-08-02T20:00:08+03:30","text_report","Generated text report or registry indicated by path/filename","Role based only on path, filename, and extension"
"analysis","adsorption_condition_scales.csv",".csv","0.002071","2026-08-02T06:35:08+03:30","tabular_data","Tabular dataset; role inferred only from path and filename","Role based only on path, filename, and extension"
"analysis","caliper_sensitivity_composition.csv",".csv","0.012828","2026-08-02T07:05:32+03:30","tabular_data","Tabular dataset; role inferred only from path and filename","Role based only on path, filename, and extension"
"analysis","caliper_sensitivity_effects.csv",".csv","0.095184","2026-08-02T07:05:32+03:30","tabular_data","Tabular dataset; role inferred only from path and filename","Role based only on path, filename, and extension"
"analysis","caliper_sensitivity_pair_assignments.parquet",".parquet","9.784684","2026-08-02T06:48:51+03:30","tabular_data","Tabular dataset; role inferred only from path and filename","Role based only on path, filename, and extension"
"analysis","caliper_sensitivity_pressure.csv",".csv","0.050469","2026-08-02T07:05:32+03:30","tabular_data","Tabular dataset; role inferred only from path and filename","Role based only on path, filename, and extension"
"analysis","caliper_sensitivity_residual_geometry.csv",".csv","0.089271","2026-08-02T07:05:32+03:30","tabular_data","Tabular dataset; role inferred only from path and filename","Role based only on path, filename, and extension"
"analysis","caliper_sensitivity_run_summary.csv",".csv","0.003731","2026-08-02T07:05:32+03:30","tabular_data","Tabular dataset; role inferred only from path and filename","Role based only on path, filename, and extension"
"analysis","caliper_sensitivity_support.csv",".csv","0.001204","2026-08-02T07:05:32+03:30","tabular_data","Tabular dataset; role inferred only from path and filename","Role based only on path, filename, and extension"
"analysis","cif_chemistry.parquet",".parquet","5.904972","2026-08-02T06:20:54+03:30","tabular_data","Tabular dataset; role inferred only from path and filename","Role based only on path, filename, and extension"
"analysis","cif_chemistry_checkpoint.csv",".csv","42.703725","2026-08-02T06:20:54+03:30","tabular_data","Tabular dataset; role inferred only from path and filename","Role based only on path, filename, and extension"
"analysis","cif_chemistry_failures.csv",".csv","2.9E-05","2026-08-02T06:20:54+03:30","tabular_data","Tabular dataset; role inferred only from path and filename","Role based only on path, filename, and extension"
"analysis","cif_chemistry_summary.csv",".csv","0.000334","2026-08-02T06:20:54+03:30","tabular_data","Tabular dataset; role inferred only from path and filename","Role based only on path, filename, and extension"
"analysis","cohort_flow.csv",".csv","0.00055","2026-08-02T05:40:12+03:30","tabular_data","Tabular dataset; role inferred only from path and filename","Role based only on path, filename, and extension"
"analysis","corrected_effect_magnitude_summary.csv",".csv","0.015782","2026-08-02T06:36:42+03:30","tabular_data","Tabular dataset; role inferred only from path and filename","Role based only on path, filename, and extension"
"analysis","corrected_effect_run_summary.csv",".csv","0.000437","2026-08-02T06:36:42+03:30","tabular_data","Tabular dataset; role inferred only from path and filename","Role based only on path, filename, and extension"
"analysis","corrected_group_effect_magnitudes.parquet",".parquet","2.78674","2026-08-02T06:35:10+03:30","tabular_data","Tabular dataset; role inferred only from path and filename","Role based only on path, filename, and extension"
"analysis","corrected_pressure_magnitude_summary.csv",".csv","0.007392","2026-08-02T06:36:42+03:30","tabular_data","Tabular dataset; role inferred only from path and filename","Role based only on path, filename, and extension"
"analysis","final_major_metal_manifest.json",".json","0.001085","2026-08-02T07:07:33+03:30","provenance_manifest","Manifest, hash, restart, or provenance record indicated by filename/content type","Role based only on path, filename, and extension"
"analysis","final_major_metal_pressure_summary.csv",".csv","0.010824","2026-08-02T07:07:33+03:30","tabular_data","Tabular dataset; role inferred only from path and filename","Role based only on path, filename, and extension"
