object,basename,required,path,sha256,size_bytes,rows,columns_count,columns
primary_pairs,final_primary_pairs.parquet,True,analysis\final_primary_pairs.parquet,57fc3902fa82ba33c240625ef6b77c4b84fb02d48ce5ab8a37b3255afad42843,2522736,13072,68,"[""id_a"", ""id_b"", ""pair_lo"", ""pair_hi"", ""intervention"", ""chemical_class"", ""geometry_tier"", ""topology"", ""Dimensionality"", ""metals_a"", ""metals_b"", ""metal_site_count_a_x"", ""metal_site_count_b_x"", ""metal_site_count_ratio"", ""Di_diff"", ""Df_diff"", ""Dif_diff"", ""Density_diff"", ""UC_volume_diff"", ""AVAf_diff"", ""POAVAf_diff"", ""member_path_a"", ""status_a"", ""metal_a"", ""metal_site_count_a_y"", ""default_signature_a"", ""geometry_signature_a"", ""within_framework_stable_a"", ""default_warning_count_a"", ""geometry_warning_count_a"", ""failed_site_count_a"", ""error_a"", ""member_path_b"", ""status_b"", ""metal_b"", ""metal_site_count_b_y"", ""default_signature_b"", ""geometry_signature_b"", ""within_framework_stable_b"", ""default_warning_count_b"", ""geometry_warning_count_b"", ""failed_site_count_b"", ""error_b"", ""coordination_class"", ""transition"", ""metal_site_count_a"", ""metal_site_count_b"", ""linker_cluster_a"", ""linker_cluster_b"", ""functional_cluster_a"", ""functional_cluster_b"", ""variant_a"", ""variant_b"", ""variant_lo"", ""variant_hi"", ""tier"", ""tier_order"", ""fraction_Di_diff"", ""fraction_Df_diff"", ""fraction_Dif_diff"", ""fraction_Density_diff"", ""fraction_UC_volume_diff"", ""fraction_AVAf_diff"", ""fraction_POAVAf_diff"", ""residual_geometry_score"", ""maximum_fraction_of_limit"", ""related_group_id"", ""pair_key""]"
primary_pairs,final_primary_pairs.parquet,True,Step 3 results\Paper7B_Hosein_to_Shayan_Frozen_Source_Package\01_master\final_primary_pairs.parquet,57fc3902fa82ba33c240625ef6b77c4b84fb02d48ce5ab8a37b3255afad42843,2522736,13072,68,"[""id_a"", ""id_b"", ""pair_lo"", ""pair_hi"", ""intervention"", ""chemical_class"", ""geometry_tier"", ""topology"", ""Dimensionality"", ""metals_a"", ""metals_b"", ""metal_site_count_a_x"", ""metal_site_count_b_x"", ""metal_site_count_ratio"", ""Di_diff"", ""Df_diff"", ""Dif_diff"", ""Density_diff"", ""UC_volume_diff"", ""AVAf_diff"", ""POAVAf_diff"", ""member_path_a"", ""status_a"", ""metal_a"", ""metal_site_count_a_y"", ""default_signature_a"", ""geometry_signature_a"", ""within_framework_stable_a"", ""default_warning_count_a"", ""geometry_warning_count_a"", ""failed_site_count_a"", ""error_a"", ""member_path_b"", ""status_b"", ""metal_b"", ""metal_site_count_b_y"", ""default_signature_b"", ""geometry_signature_b"", ""within_framework_stable_b"", ""default_warning_count_b"", ""geometry_warning_count_b"", ""failed_site_count_b"", ""error_b"", ""coordination_class"", ""transition"", ""metal_site_count_a"", ""metal_site_count_b"", ""linker_cluster_a"", ""linker_cluster_b"", ""functional_cluster_a"", ""functional_cluster_b"", ""variant_a"", ""variant_b"", ""variant_lo"", ""variant_hi"", ""tier"", ""tier_order"", ""fraction_Di_diff"", ""fraction_Df_diff"", ""fraction_Dif_diff"", ""fraction_Density_diff"", ""fraction_UC_volume_diff"", ""fraction_AVAf_diff"", ""fraction_POAVAf_diff"", ""residual_geometry_score"", ""maximum_fraction_of_limit"", ""related_group_id"", ""pair_key""]"
pair_effects,final_primary_pair_effect_magnitudes.parquet,True,analysis\final_primary_pair_effect_magnitudes.parquet,86f3c282535d7a8191e5b6dbd9b2fb05fd769d01e63ab58fb99f63006e5cf9ec,19833618,235296,84,"[""id_a"", ""id_b"", ""pair_lo"", ""pair_hi"", ""intervention"", ""chemical_class"", ""geometry_tier"", ""topology"", ""Dimensionality"", ""metals_a"", ""metals_b"", ""metal_site_count_a_x"", ""metal_site_count_b_x"", ""metal_site_count_ratio"", ""Di_diff"", ""Df_diff"", ""Dif_diff"", ""Density_diff"", ""UC_volume_diff"", ""AVAf_diff"", ""POAVAf_diff"", ""member_path_a"", ""status_a"", ""metal_a"", ""metal_site_count_a_y"", ""default_signature_a"", ""geometry_signature_a"", ""within_framework_stable_a"", ""default_warning_count_a"", ""geometry_warning_count_a"", ""failed_site_count_a"", ""error_a"", ""member_path_b"", ""status_b"", ""metal_b"", ""metal_site_count_b_y"", ""default_signature_b"", ""geometry_signature_b"", ""within_framework_stable_b"", ""default_warning_count_b"", ""geometry_warning_count_b"", ""failed_site_count_b"", ""error_b"", ""coordination_class"", ""metal_site_count_a"", ""metal_site_count_b"", ""linker_cluster_a"", ""linker_cluster_b"", ""functional_cluster_a"", ""functional_cluster_b"", ""variant_a"", ""variant_b"", ""variant_lo"", ""variant_hi"", ""transition"", ""evidence_unit_id"", ""dependence_family_id"", ""reuse_count_a"", ""reuse_count_b"", ""maximum_endpoint_reuse"", ""target"", ""T/K"", ""p/bar"", ""uptake_a"", ""stdev_a"", ""uptake_b"", ""stdev_b"", ""outcome_complete"", ""reported_stdev_valid_a"", ""reported_stdev_valid_b"", ""both_stdev_valid"", ""raw_delta_b_minus_a"", ""absolute_pair_difference"", ""source_rows"", ""minimum_positive_uptake"", ""epsilon_primary"", ""epsilon_sensitivity"", ""uptake_q1"", ""uptake_q3"", ""robust_scale_iqr_over_1_349"", ""absolute_uptake_difference"", ""absolute_log_difference"", ""absolute_log_difference_sensitivity"", ""standardized_absolute_difference""]"
pair_effects,final_primary_pair_effect_magnitudes.parquet,True,Step 3 results\Paper7B_Hosein_to_Shayan_Frozen_Source_Package\03_effects\final_primary_pair_effect_magnitudes.parquet,86f3c282535d7a8191e5b6dbd9b2fb05fd769d01e63ab58fb99f63006e5cf9ec,19833618,235296,84,"[""id_a"", ""id_b"", ""pair_lo"", ""pair_hi"", ""intervention"", ""chemical_class"", ""geometry_tier"", ""topology"", ""Dimensionality"", ""metals_a"", ""metals_b"", ""metal_site_count_a_x"", ""metal_site_count_b_x"", ""metal_site_count_ratio"", ""Di_diff"", ""Df_diff"", ""Dif_diff"", ""Density_diff"", ""UC_volume_diff"", ""AVAf_diff"", ""POAVAf_diff"", ""member_path_a"", ""status_a"", ""metal_a"", ""metal_site_count_a_y"", ""default_signature_a"", ""geometry_signature_a"", ""within_framework_stable_a"", ""default_warning_count_a"", ""geometry_warning_count_a"", ""failed_site_count_a"", ""error_a"", ""member_path_b"", ""status_b"", ""metal_b"", ""metal_site_count_b_y"", ""default_signature_b"", ""geometry_signature_b"", ""within_framework_stable_b"", ""default_warning_count_b"", ""geometry_warning_count_b"", ""failed_site_count_b"", ""error_b"", ""coordination_class"", ""metal_site_count_a"", ""metal_site_count_b"", ""linker_cluster_a"", ""linker_cluster_b"", ""functional_cluster_a"", ""functional_cluster_b"", ""variant_a"", ""variant_b"", ""variant_lo"", ""variant_hi"", ""transition"", ""evidence_unit_id"", ""dependence_family_id"", ""reuse_count_a"", ""reuse_count_b"", ""maximum_endpoint_reuse"", ""target"", ""T/K"", ""p/bar"", ""uptake_a"", ""stdev_a"", ""uptake_b"", ""stdev_b"", ""outcome_complete"", ""reported_stdev_valid_a"", ""reported_stdev_valid_b"", ""both_stdev_valid"", ""raw_delta_b_minus_a"", ""absolute_pair_difference"", ""source_rows"", ""minimum_positive_uptake"", ""epsilon_primary"", ""epsilon_sensitivity"", ""uptake_q1"", ""uptake_q3"", ""robust_scale_iqr_over_1_349"", ""absolute_uptake_difference"", ""absolute_log_difference"", ""absolute_log_difference_sensitivity"", ""standardized_absolute_difference""]"
group_effects,corrected_group_effect_magnitudes.parquet,True,analysis\corrected_group_effect_magnitudes.parquet,349166b6040f1b73a01953cfbfd3a9dd8d363f1649c5d384c545541c27b25ef7,2922109,71146,12,"[""intervention"", ""dependence_family_id"", ""target"", ""T/K"", ""p/bar"", ""raw_pair_rows"", ""distinct_comparisons"", ""distinct_unordered_changes"", ""absolute_uptake_difference"", ""absolute_log_difference"", ""absolute_log_difference_sensitivity"", ""standardized_absolute_difference""]"
group_effects,corrected_group_effect_magnitudes.parquet,True,Step 3 results\Paper7B_Hosein_to_Shayan_Frozen_Source_Package\03_effects\corrected_group_effect_magnitudes.parquet,349166b6040f1b73a01953cfbfd3a9dd8d363f1649c5d384c545541c27b25ef7,2922109,71146,12,"[""intervention"", ""dependence_family_id"", ""target"", ""T/K"", ""p/bar"", ""raw_pair_rows"", ""distinct_comparisons"", ""distinct_unordered_changes"", ""absolute_uptake_difference"", ""absolute_log_difference"", ""absolute_log_difference_sensitivity"", ""standardized_absolute_difference""]"
primary_pair_counts,final_primary_pair_counts.csv,True,analysis\final_primary_pair_counts.csv,c13dd2b7d65956e77190d771e21950d13cbd2fa0a0c42cacb089b34a3dbc775f,194,3,5,"[""intervention"", ""raw_pairs"", ""unique_pair_keys"", ""unique_frameworks_a"", ""unique_frameworks_b""]"
primary_pair_counts,final_primary_pair_counts.csv,True,Step 3 results\Paper7B_Hosein_to_Shayan_Frozen_Source_Package\01_master\final_primary_pair_counts.csv,c13dd2b7d65956e77190d771e21950d13cbd2fa0a0c42cacb089b34a3dbc775f,194,3,5,"[""intervention"", ""raw_pairs"", ""unique_pair_keys"", ""unique_frameworks_a"", ""unique_frameworks_b""]"
condition_scales,adsorption_condition_scales.csv,True,analysis\adsorption_condition_scales.csv,694ab2e597cf4410abedec46b527c65114e55ead1d8871e8b4ea5e1c4f445190,2172,18,10,"[""target"", ""T/K"", ""p/bar"", ""source_rows"", ""minimum_positive_uptake"", ""epsilon_primary"", ""epsilon_sensitivity"", ""uptake_q1"", ""uptake_q3"", ""robust_scale_iqr_over_1_349""]"
condition_scales,adsorption_condition_scales.csv,True,Step 3 results\Paper7B_Hosein_to_Shayan_Frozen_Source_Package\01_master\adsorption_condition_scales.csv,694ab2e597cf4410abedec46b527c65114e55ead1d8871e8b4ea5e1c4f445190,2172,18,10,"[""target"", ""T/K"", ""p/bar"", ""source_rows"", ""minimum_positive_uptake"", ""epsilon_primary"", ""epsilon_sensitivity"", ""uptake_q1"", ""uptake_q3"", ""robust_scale_iqr_over_1_349""]"
primary_control_results,step3_same_chemistry_control_results.csv,True,analysis\step3_same_chemistry_control_results.csv,e6ca9c0823e739df68979ce783480bb76c308ee0d1592ba2011218f25455417e,25455,162,10,"[""intervention"", ""effect_measure"", ""target"", ""T/K"", ""p/bar"", ""common_support_cells"", ""median_chemistry_minus_control"", ""bootstrap_95_low"", ""bootstrap_95_high"", ""positive_cell_fraction""]"
primary_control_results,step3_same_chemistry_control_results.csv,True,Step 3 results\Paper7B_Hosein_to_Shayan_Frozen_Source_Package\04_controls\step3_same_chemistry_control_results.csv,e6ca9c0823e739df68979ce783480bb76c308ee0d1592ba2011218f25455417e,25455,162,10,"[""intervention"", ""effect_measure"", ""target"", ""T/K"", ""p/bar"", ""common_support_cells"", ""median_chemistry_minus_control"", ""bootstrap_95_low"", ""bootstrap_95_high"", ""positive_cell_fraction""]"
symmetric_control_results,step5b_symmetric_control_results.csv,True,analysis\step5b_symmetric_control_results.csv,790b4df026379930029f6c9bba6742ee22bcd8d34a76ba6ebf8924c4d02c6005,29227,162,13,"[""intervention"", ""target"", ""T/K"", ""p/bar"", ""effect_measure"", ""common_support_cells"", ""chemistry_pairs"", ""control_pairs"", ""median_chemistry_minus_control"", ""bootstrap_95_low"", ""bootstrap_95_high"", ""positive_cell_fraction"", ""control_status""]"
symmetric_control_results,step5b_symmetric_control_results.csv,True,Step 3 results\Paper7B_Hosein_to_Shayan_Frozen_Source_Package\04_controls\step5b_symmetric_control_results.csv,790b4df026379930029f6c9bba6742ee22bcd8d34a76ba6ebf8924c4d02c6005,29227,162,13,"[""intervention"", ""target"", ""T/K"", ""p/bar"", ""effect_measure"", ""common_support_cells"", ""chemistry_pairs"", ""control_pairs"", ""median_chemistry_minus_control"", ""bootstrap_95_low"", ""bootstrap_95_high"", ""positive_cell_fraction"", ""control_status""]"
hoa_condition,heat_adsorption_condition_results.csv,True,Step 2 results\heat_analysis\heat_adsorption_condition_results.csv,cc1ae1f29329c176c6b88c31bb24a1214d031cea31ad71fc0186b0e471ee0cda,19753,108,12,"[""intervention"", ""target"", ""T/K"", ""p/bar"", ""effect_measure"", ""related_groups"", ""median_absolute_hoa_difference"", ""bootstrap_95_low_absolute_hoa_difference"", ""bootstrap_95_high_absolute_hoa_difference"", ""spearman_rho_heat_vs_adsorption_separation"", ""bootstrap_95_low_rho"", ""bootstrap_95_high_rho""]"
hoa_condition,heat_adsorption_condition_results.csv,True,Step 3 results\Paper7B_Hosein_to_Shayan_Frozen_Source_Package\03_effects\heat_adsorption_condition_results.csv,cc1ae1f29329c176c6b88c31bb24a1214d031cea31ad71fc0186b0e471ee0cda,19753,108,12,"[""intervention"", ""target"", ""T/K"", ""p/bar"", ""effect_measure"", ""related_groups"", ""median_absolute_hoa_difference"", ""bootstrap_95_low_absolute_hoa_difference"", ""bootstrap_95_high_absolute_hoa_difference"", ""spearman_rho_heat_vs_adsorption_separation"", ""bootstrap_95_low_rho"", ""bootstrap_95_high_rho""]"
hoa_pressure,heat_adsorption_pressure_results.csv,True,Step 2 results\heat_analysis\heat_adsorption_pressure_results.csv,b567276cb4bac47db345eae6b44629f3823f4ed0050fe4511603ec261b5edda3,14807,54,17,"[""intervention"", ""target"", ""T/K"", ""effect_measure"", ""p/bar_low"", ""p/bar_high"", ""paired_related_groups"", ""median_heat_low"", ""median_heat_high"", ""median_heat_change_high_minus_low"", ""median_adsorption_low"", ""median_adsorption_high"", ""median_adsorption_change_high_minus_low"", ""spearman_rho_pressure_change_heat_vs_adsorption"", ""bootstrap_95_low_rho"", ""bootstrap_95_high_rho"", ""direction_concordance_fraction""]"
hoa_pressure,heat_adsorption_pressure_results.csv,True,Step 3 results\Paper7B_Hosein_to_Shayan_Frozen_Source_Package\03_effects\heat_adsorption_pressure_results.csv,b567276cb4bac47db345eae6b44629f3823f4ed0050fe4511603ec261b5edda3,14807,54,17,"[""intervention"", ""target"", ""T/K"", ""effect_measure"", ""p/bar_low"", ""p/bar_high"", ""paired_related_groups"", ""median_heat_low"", ""median_heat_high"", ""median_heat_change_high_minus_low"", ""median_adsorption_low"", ""median_adsorption_high"", ""median_adsorption_change_high_minus_low"", ""spearman_rho_pressure_change_heat_vs_adsorption"", ""bootstrap_95_low_rho"", ""bootstrap_95_high_rho"", ""direction_concordance_fraction""]"
guest_specificity,05_results.csv,True,Step 2 results\guest_specificity\05_results.csv,85b3440afe0ae04b13befca549041bdc1e5848c195eba2b96a1e47c35d43526f,18856,48,24,"[""quantity"", ""intervention"", ""comparison"", ""guest_class"", ""regime"", ""T/K"", ""CO2_target"", ""coguest_target"", ""CO2_pressure_bar"", ""coguest_pressure_bar"", ""measure"", ""paired_groups"", ""status"", ""median_CO2"", ""median_coguest"", ""median_paired_difference_CO2_minus_coguest"", ""median_bootstrap_95_low"", ""median_bootstrap_95_high"", ""mean_paired_difference_CO2_minus_coguest"", ""mean_bootstrap_95_low"", ""mean_bootstrap_95_high"", ""fraction_groups_CO2_greater"", ""fraction_bootstrap_95_low"", ""fraction_bootstrap_95_high""]"
