tier,tier_order,intervention,raw_pairs,related_groups,frameworks,exact_changes,topologies,database_origins,median_residual_geometry_score,maximum_residual_geometry_score
very_tight,1,linker_family_change,753,445,1066,619,14,6,0.4411988100607116,0.7642520480153014
tight,2,linker_family_change,4167,1575,4226,2986,21,7,0.4154097898638744,0.8596882115184156
primary,3,linker_family_change,12392,3494,9819,8540,26,7,0.424106513833765,0.8389053606043242
moderate,4,linker_family_change,44406,8814,27229,29190,38,8,0.4134956780511016,0.883397097641942
very_tight,1,metal_substitution,66,53,117,16,15,3,0.424558422553264,0.6734848068176592
tight,2,metal_substitution,281,217,489,24,21,3,0.449797190249046,0.8698301461929192
primary,3,metal_substitution,674,453,1054,35,27,4,0.3887309978465715,0.7540967772637471
moderate,4,metal_substitution,4732,594,1876,58,30,5,0.3739960220993246,0.761505268292666
very_tight,1,functional_motif_change,1,1,2,1,1,1,0.1999668132011463,0.1999668132011463
tight,2,functional_motif_change,5,5,10,5,3,1,0.4362541503513351,0.5919068459282373
primary,3,functional_motif_change,6,6,12,6,3,1,0.3122410873406755,0.5557097418500947
moderate,4,functional_motif_change,16,16,32,16,3,2,0.3569459345634974,0.5050229698876699
