intervention,target,T/K,p/bar,effect_measure,common_support_cells,chemistry_pairs,control_pairs,median_chemistry_minus_control,bootstrap_95_low,bootstrap_95_high,positive_cell_fraction,control_status,y
linker_family_change,landfill_CH4,338.0,0.01,absolute_log_difference,61,9006,4585,0.0143335871621244,0.0034007527711699,0.0267245654625463,0.6885245901639344,above_control,0
linker_family_change,landfill_CH4,338.0,4.4,absolute_log_difference,61,9006,4585,0.0128493253300262,0.0072463154901765,0.0180994324491424,0.7704918032786885,above_control,1
linker_family_change,landfill_CO2,338.0,0.26,absolute_log_difference,61,9006,4585,0.0309708125264243,0.0087485158263345,0.0460486839574875,0.7213114754098361,above_control,2
linker_family_change,landfill_CO2,338.0,3.2,absolute_log_difference,61,9006,4585,0.018214132384148,0.0141121536905392,0.026777341366699,0.7377049180327869,above_control,3
linker_family_change,methane_purification_CH4,298.0,0.9,absolute_log_difference,61,9006,4585,0.0264805751474683,0.0177639606846054,0.0368193779678768,0.7868852459016393,above_control,4
linker_family_change,methane_purification_CH4,298.0,9.0,absolute_log_difference,61,9006,4585,0.0099994740483175,0.0042388382915381,0.0173929865063064,0.7049180327868853,above_control,5
linker_family_change,methane_purification_CO2,298.0,0.1,absolute_log_difference,61,9006,4585,0.0295479247971787,0.0171785353212293,0.0419042739323797,0.7704918032786885,above_control,6
linker_family_change,methane_purification_CO2,298.0,1.0,absolute_log_difference,61,9006,4585,0.0195225390950474,0.0088545598468585,0.0263900577563184,0.7213114754098361,above_control,7
linker_family_change,methane_storage_CH4,298.0,5.8,absolute_log_difference,61,9006,4585,0.0184416204149677,0.014322979444764,0.0243409592735492,0.8032786885245902,above_control,8
linker_family_change,methane_storage_CH4,298.0,65.0,absolute_log_difference,61,9006,4585,0.0091914464159652,0.0077300884063127,0.0121659877008404,0.8032786885245902,above_control,9
linker_family_change,post_combustion_CO2,298.0,0.015,absolute_log_difference,61,9006,4585,0.0258932094940853,0.0106473124474395,0.0443643101820093,0.6721311475409836,above_control,10
linker_family_change,post_combustion_CO2,298.0,0.15,absolute_log_difference,61,9006,4585,0.0529356648018477,0.0352963068889871,0.0651367411403056,0.8032786885245902,above_control,11
linker_family_change,post_combustion_N2,298.0,0.075,absolute_log_difference,61,9006,4585,0.0116274833916794,0.0056833322515621,0.0269368435240773,0.7049180327868853,above_control,12
linker_family_change,post_combustion_N2,298.0,0.75,absolute_log_difference,61,9006,4585,0.0084085418377123,0.0038237764796964,0.014407079861301,0.6721311475409836,above_control,13
linker_family_change,pre_combustion_CO2,313.0,0.4,absolute_log_difference,61,9006,4585,0.02869575777146,0.0087523427224798,0.0396525223266573,0.6557377049180327,above_control,14
linker_family_change,pre_combustion_CO2,313.0,16.0,absolute_log_difference,61,9006,4582,0.0116184111155226,0.0084775259158416,0.013680697667063,0.819672131147541,above_control,15
