intervention,process,metric,groups,statistic,estimate,bootstrap_95_low,bootstrap_95_high,y
linker_family_change,landfill-gas-vpsa,uptake_working_capacity_concordant,3491,equal_weight_group_mean,0.9130981256156118,0.9043772439451856,0.9218022766856316,0
linker_family_change,methane-storage-psa,uptake_working_capacity_concordant,3491,equal_weight_group_mean,0.8347085852392411,0.8230976047680569,0.8458496920150368,1
linker_family_change,natural-gas-purification,uptake_working_capacity_concordant,3485,equal_weight_group_mean,0.9012167539493756,0.8918394047452448,0.910386284356944,2
linker_family_change,post-combustion-vsa,uptake_working_capacity_concordant,3491,equal_weight_group_mean,0.9291726829698154,0.9212089799322808,0.9370634907054852,3
linker_family_change,pre-combustion-40-40,uptake_working_capacity_concordant,3491,equal_weight_group_mean,0.9055562517500776,0.8965011624778492,0.914687978415574,4
metal_substitution,landfill-gas-vpsa,uptake_working_capacity_concordant,450,equal_weight_group_mean,0.8973306878306878,0.8701480158730158,0.9224216931216932,0
metal_substitution,methane-storage-psa,uptake_working_capacity_concordant,452,equal_weight_group_mean,0.9167807978648688,0.8928130267593762,0.9388100505689002,1
metal_substitution,natural-gas-purification,uptake_working_capacity_concordant,442,equal_weight_group_mean,0.9247693194925029,0.9022613898500575,0.9458769186407594,2
metal_substitution,post-combustion-vsa,uptake_working_capacity_concordant,451,equal_weight_group_mean,0.9253088375039594,0.902473075704783,0.946004117833386,3
metal_substitution,pre-combustion-40-40,uptake_working_capacity_concordant,452,equal_weight_group_mean,0.8933154235145384,0.8661759903076275,0.9191268963337548,4
