intervention,effect_measure,target,T/K,p/bar,common_support_cells,median_chemistry_minus_control,bootstrap_95_low,bootstrap_95_high,positive_cell_fraction,y
functional_motif_change,absolute_log_difference,landfill_CH4,338.0,0.01,5,-0.0142213422219725,-0.0638193602942647,0.0506443369655551,0.2,0
functional_motif_change,absolute_log_difference,landfill_CH4,338.0,4.4,5,-0.0176613128150749,-0.0209473008671078,0.0075366777855627,0.2,1
functional_motif_change,absolute_log_difference,landfill_CO2,338.0,0.26,5,0.1221018745428779,0.0009822120040464,0.1740985347974863,1.0,2
functional_motif_change,absolute_log_difference,landfill_CO2,338.0,3.2,5,0.0093103824479505,-0.0008960652550785,0.0468698304235734,0.8,3
functional_motif_change,absolute_log_difference,methane_purification_CH4,298.0,0.9,5,0.0095105853286409,-0.0323366724718408,0.0461427461991341,0.6,4
functional_motif_change,absolute_log_difference,methane_purification_CH4,298.0,9.0,5,-0.0062190454045146,-0.013730394431614,0.0292341577137165,0.2,5
functional_motif_change,absolute_log_difference,methane_purification_CO2,298.0,0.1,5,-0.002193947567006,-0.0882051441616613,0.1579403502839554,0.4,6
functional_motif_change,absolute_log_difference,methane_purification_CO2,298.0,1.0,5,-0.0336371825487749,-0.0545521924141153,-0.0180492576024144,0.0,7
functional_motif_change,absolute_log_difference,methane_storage_CH4,298.0,5.8,5,-0.0048192660686445,-0.016389057303499,0.0593877012056265,0.4,8
functional_motif_change,absolute_log_difference,methane_storage_CH4,298.0,65.0,5,-0.0044069300118612,-0.0073238850652983,0.0025663846183725,0.2,9
functional_motif_change,absolute_log_difference,post_combustion_CO2,298.0,0.015,5,-0.0126679759471268,-0.1054855898346955,0.0810345099173586,0.4,10
functional_motif_change,absolute_log_difference,post_combustion_CO2,298.0,0.15,5,-0.0279522867803723,-0.1316211683371715,0.0189929183961238,0.4,11
functional_motif_change,absolute_log_difference,post_combustion_N2,298.0,0.075,5,-0.0030346531914104,-0.0433493325417722,0.0760438792319568,0.4,12
functional_motif_change,absolute_log_difference,post_combustion_N2,298.0,0.75,5,-0.0113733986421356,-0.0350971865655699,0.0477168511574112,0.4,13
functional_motif_change,absolute_log_difference,pre_combustion_CO2,313.0,0.4,5,0.0409140199297774,-0.0939850705767023,0.1948802317116206,0.8,14
functional_motif_change,absolute_log_difference,pre_combustion_CO2,313.0,16.0,5,-0.0114082096920191,-0.025630302644259,0.0304912109184227,0.4,15
functional_motif_change,absolute_log_difference,pre_combustion_H2,313.0,0.6,5,-0.0077023048190345,-0.0193248253557132,0.0395997471097036,0.4,16
functional_motif_change,absolute_log_difference,pre_combustion_H2,313.0,24.0,5,-0.0097346423710207,-0.0305758729624866,0.1328269798771291,0.2,17
linker_family_change,absolute_log_difference,landfill_CH4,338.0,0.01,62,0.019998290780621,0.0103250399964234,0.0292439408591764,0.7258064516129032,0
linker_family_change,absolute_log_difference,landfill_CH4,338.0,4.4,62,0.0107789171790969,0.0043439680262491,0.0157019778419769,0.7741935483870968,1
linker_family_change,absolute_log_difference,landfill_CO2,338.0,0.26,62,0.0336749632095514,0.0193197943647804,0.0445508123991663,0.7580645161290323,2
linker_family_change,absolute_log_difference,landfill_CO2,338.0,3.2,62,0.0176574145240036,0.0108801362539457,0.0270070551420901,0.8225806451612904,3
linker_family_change,absolute_log_difference,methane_purification_CH4,298.0,0.9,62,0.02500097600114,0.0133810241349889,0.0362284536434031,0.7419354838709677,4
linker_family_change,absolute_log_difference,methane_purification_CH4,298.0,9.0,62,0.008955928558671,0.0062542505650633,0.0113754319597192,0.7258064516129032,5
linker_family_change,absolute_log_difference,methane_purification_CO2,298.0,0.1,62,0.0343517008732457,0.0266207242692184,0.0494578938655094,0.7258064516129032,6
