intervention,effect_measure,target,T/K,p/bar,common_support_cells,median_chemistry_minus_control,bootstrap_95_low,bootstrap_95_high,positive_cell_fraction,y
functional_motif_change,standardized_absolute_difference,landfill_CH4,338.0,0.01,5,-0.0479796190222455,-0.1258791128280271,0.0985648727854004,0.2,0
functional_motif_change,standardized_absolute_difference,landfill_CH4,338.0,4.4,5,-0.0597712173450147,-0.0822468936465443,0.0271845983302827,0.2,1
functional_motif_change,standardized_absolute_difference,landfill_CO2,338.0,0.26,5,0.1082369757031709,0.0298576097125968,0.1322968621616707,1.0,2
functional_motif_change,standardized_absolute_difference,landfill_CO2,338.0,3.2,5,0.0226524493469604,0.0067090458200652,0.0941815275956506,1.0,3
functional_motif_change,standardized_absolute_difference,methane_purification_CH4,298.0,0.9,5,0.0011783774324094,-0.0349257696432917,0.0680257128607866,0.6,4
functional_motif_change,standardized_absolute_difference,methane_purification_CH4,298.0,9.0,5,-0.027403227254931,-0.0556823066130944,0.1127803240223856,0.2,5
functional_motif_change,standardized_absolute_difference,methane_purification_CO2,298.0,0.1,5,0.0033903706528995,-0.0703938340303224,0.0884585833526311,0.6,6
functional_motif_change,standardized_absolute_difference,methane_purification_CO2,298.0,1.0,5,-0.0266873587666006,-0.0903735661236693,-0.0072445297939376,0.0,7
functional_motif_change,standardized_absolute_difference,methane_storage_CH4,298.0,5.8,5,-0.0094256970716391,-0.031734409467409,0.1201410813835688,0.4,8
functional_motif_change,standardized_absolute_difference,methane_storage_CH4,298.0,65.0,5,-0.0073423425541243,-0.0129518388558295,0.000870503029629,0.2,9
functional_motif_change,standardized_absolute_difference,post_combustion_CO2,298.0,0.015,5,0.0057327467884927,-0.0628787560998088,0.0600157430495183,0.6,10
functional_motif_change,standardized_absolute_difference,post_combustion_CO2,298.0,0.15,5,-0.0242972744861055,-0.0904560174015845,0.017615820506336,0.2,11
functional_motif_change,standardized_absolute_difference,post_combustion_N2,298.0,0.075,5,-0.0040139439906653,-0.2327300466744483,0.3535418903150565,0.4,12
functional_motif_change,standardized_absolute_difference,post_combustion_N2,298.0,0.75,5,-0.0534473909324212,-0.20082249786142,0.2702737382378096,0.4,13
functional_motif_change,standardized_absolute_difference,pre_combustion_CO2,313.0,0.4,5,0.0347830376000126,-0.0416620703049823,0.185176433470493,0.8,14
functional_motif_change,standardized_absolute_difference,pre_combustion_CO2,313.0,16.0,5,-0.019455342256553,-0.0640169832292657,0.0821304834137388,0.4,15
functional_motif_change,standardized_absolute_difference,pre_combustion_H2,313.0,0.6,5,-0.0205839129178303,-0.0290739106701345,0.15278530648942,0.4,16
functional_motif_change,standardized_absolute_difference,pre_combustion_H2,313.0,24.0,5,-0.0156610835719066,-0.0459257258646457,0.0531695842526534,0.4,17
linker_family_change,standardized_absolute_difference,landfill_CH4,338.0,0.01,62,0.0434646829625682,0.0152744105501531,0.0818977953909684,0.7096774193548387,0
linker_family_change,standardized_absolute_difference,landfill_CH4,338.0,4.4,62,0.0517426212091818,0.0358300278648037,0.0657363806872173,0.7903225806451613,1
linker_family_change,standardized_absolute_difference,landfill_CO2,338.0,0.26,62,0.0332286540007931,0.0192272188467496,0.0535140349301156,0.7258064516129032,2
linker_family_change,standardized_absolute_difference,landfill_CO2,338.0,3.2,62,0.0456614622044277,0.0292260176560408,0.0570719689889724,0.8387096774193549,3
linker_family_change,standardized_absolute_difference,methane_purification_CH4,298.0,0.9,62,0.036626463125922,0.0184487500337992,0.0763726374422035,0.7580645161290323,4
linker_family_change,standardized_absolute_difference,methane_purification_CH4,298.0,9.0,62,0.0435590019000289,0.030892727443903,0.0561189516440828,0.7741935483870968,5
linker_family_change,standardized_absolute_difference,methane_purification_CO2,298.0,0.1,62,0.0338026385691517,0.0157160677555134,0.0610301172508206,0.7419354838709677,6
linker_family_change,standardized_absolute_difference,methane_purification_CO2,298.0,1.0,62,0.0426001327665024,0.0220649315124225,0.0626505927554318,0.7741935483870968,7
linker_family_change,standardized_absolute_difference,methane_storage_CH4,298.0,5.8,62,0.0487832231575304,0.0346029451598245,0.0651570396984217,0.8225806451612904,8
linker_family_change,standardized_absolute_difference,methane_storage_CH4,298.0,65.0,62,0.024144831347449,0.0181268996234055,0.0306377750996338,0.7741935483870968,9
linker_family_change,standardized_absolute_difference,post_combustion_CO2,298.0,0.015,62,0.0346753892792821,0.015877625190872,0.0512250832613022,0.6774193548387096,10
linker_family_change,standardized_absolute_difference,post_combustion_CO2,298.0,0.15,62,0.0283272858585748,0.0125452548255419,0.0771607820990403,0.7580645161290323,11
linker_family_change,standardized_absolute_difference,post_combustion_N2,298.0,0.075,62,0.0614684364060682,0.0234343494749128,0.0843715285880989,0.6612903225806451,12
linker_family_change,standardized_absolute_difference,post_combustion_N2,298.0,0.75,62,0.0371626390076989,0.0095506843455945,0.0575014970059878,0.6612903225806451,13
linker_family_change,standardized_absolute_difference,pre_combustion_CO2,313.0,0.4,62,0.0217156937574216,0.0102848727984656,0.0444383315424855,0.6774193548387096,14
linker_family_change,standardized_absolute_difference,pre_combustion_CO2,313.0,16.0,62,0.0247565593140388,0.0188147198105761,0.0360287124690014,0.7741935483870968,15
linker_family_change,standardized_absolute_difference,pre_combustion_H2,313.0,0.6,62,0.0347050316282952,0.0305813184343191,0.0498310888482161,0.8870967741935484,16
linker_family_change,standardized_absolute_difference,pre_combustion_H2,313.0,24.0,62,0.0253268793949038,0.0127444823483624,0.0502912856076376,0.7741935483870968,17
metal_substitution,standardized_absolute_difference,landfill_CH4,338.0,0.01,30,-0.0204856800319703,-0.0545835553483413,0.0219906587185294,0.4333333333333333,0
metal_substitution,standardized_absolute_difference,landfill_CH4,338.0,4.4,30,0.0286363837627028,-0.0218326076544312,0.0694294494926125,0.6333333333333333,1
metal_substitution,standardized_absolute_difference,landfill_CO2,338.0,0.26,30,0.0974107657368474,0.0260742369033976,0.3483972793971036,0.7,2
metal_substitution,standardized_absolute_difference,landfill_CO2,338.0,3.2,30,0.0239772337808099,-0.0191765784823034,0.1503702019138844,0.5666666666666667,3
metal_substitution,standardized_absolute_difference,methane_purification_CH4,298.0,0.9,30,-0.0005218094391148,-0.0230411797091174,0.0354579646100784,0.5,4
metal_substitution,standardized_absolute_difference,methane_purification_CH4,298.0,9.0,30,-0.007722998858029,-0.0361013573148135,0.0153545877441474,0.4,5
metal_substitution,standardized_absolute_difference,methane_purification_CO2,298.0,0.1,30,0.0947328363596736,-0.0035821700766915,0.4234262276344824,0.6666666666666666,6
metal_substitution,standardized_absolute_difference,methane_purification_CO2,298.0,1.0,30,0.1476717221879889,0.0066772938831006,0.2076427729499496,0.7,7
metal_substitution,standardized_absolute_difference,methane_storage_CH4,298.0,5.8,30,-0.0210345804656266,-0.0309856527447185,-0.001141979361027,0.3333333333333333,8
metal_substitution,standardized_absolute_difference,methane_storage_CH4,298.0,65.0,30,0.0137430804890242,-0.0023283267015312,0.0258583536936707,0.6,9
metal_substitution,standardized_absolute_difference,post_combustion_CO2,298.0,0.015,30,0.1904407730036594,0.0243524126472485,0.8134334208500752,0.7,10
metal_substitution,standardized_absolute_difference,post_combustion_CO2,298.0,0.15,30,0.0622114038095444,0.0305967616647971,0.0870263392388461,0.7,11
metal_substitution,standardized_absolute_difference,post_combustion_N2,298.0,0.075,30,0.3086014585764328,0.0054503063010502,0.8090851808634861,0.7,12
metal_substitution,standardized_absolute_difference,post_combustion_N2,298.0,0.75,30,0.5339500641573998,0.080937874251497,1.2773319076133456,0.7666666666666667,13
metal_substitution,standardized_absolute_difference,pre_combustion_CO2,313.0,0.4,30,0.0587887169686851,-0.0180421154630277,0.1191017026243752,0.6333333333333333,14
metal_substitution,standardized_absolute_difference,pre_combustion_CO2,313.0,16.0,30,0.0141953660979904,-0.0097949829070206,0.0340010280306177,0.6,15
metal_substitution,standardized_absolute_difference,pre_combustion_H2,313.0,0.6,30,0.0208091577561569,0.0018626015476993,0.0323746138779179,0.7,16
metal_substitution,standardized_absolute_difference,pre_combustion_H2,313.0,24.0,30,0.00628022156479,-0.0053453116754685,0.0124231143724177,0.6333333333333333,17
