intervention,target,T/K,p/bar,effect_measure,common_support_cells,chemistry_pairs,control_pairs,median_chemistry_minus_control,bootstrap_95_low,bootstrap_95_high,positive_cell_fraction,control_status,y
functional_motif_change,landfill_CH4,338.0,0.01,standardized_absolute_difference,5,6,4585,-0.03629918742507,-0.1351336086319436,0.0945216464633012,0.2,crosses_zero,0
functional_motif_change,landfill_CH4,338.0,4.4,standardized_absolute_difference,5,6,4585,-0.0599872005528638,-0.1054376329977887,0.0146892986219563,0.2,crosses_zero,1
functional_motif_change,landfill_CO2,338.0,0.26,standardized_absolute_difference,5,6,4585,0.0844032048852205,0.0414811359408586,0.1402301220209598,1.0,above_control,2
functional_motif_change,landfill_CO2,338.0,3.2,standardized_absolute_difference,5,6,4585,0.0241659741782712,0.0090057913539414,0.074643398700596,1.0,above_control,3
functional_motif_change,methane_purification_CH4,298.0,0.9,standardized_absolute_difference,5,6,4585,0.0142823802985739,-0.0363837964061781,0.0761112261115399,0.6,crosses_zero,4
functional_motif_change,methane_purification_CH4,298.0,9.0,standardized_absolute_difference,5,6,4585,-0.0372447597262195,-0.0689957709904651,0.0788735380452135,0.2,crosses_zero,5
functional_motif_change,methane_purification_CO2,298.0,0.1,standardized_absolute_difference,5,6,4585,-0.0014976434049393,-0.0475616631022598,0.0919304974731307,0.4,crosses_zero,6
functional_motif_change,methane_purification_CO2,298.0,1.0,standardized_absolute_difference,5,6,4585,-0.0370036210079867,-0.0977847896438081,-0.0017357964290763,0.0,below_control,7
functional_motif_change,methane_storage_CH4,298.0,5.8,standardized_absolute_difference,5,6,4585,-0.019995314545712,-0.0284809005626358,0.1219543375644628,0.4,crosses_zero,8
functional_motif_change,methane_storage_CH4,298.0,65.0,standardized_absolute_difference,5,6,4585,-0.0084529664450145,-0.0131985617426259,0.0100309247276103,0.4,crosses_zero,9
functional_motif_change,post_combustion_CO2,298.0,0.015,standardized_absolute_difference,5,6,4585,0.0078900876080778,-0.0630131698580385,0.0864683706691046,0.8,crosses_zero,10
functional_motif_change,post_combustion_CO2,298.0,0.15,standardized_absolute_difference,5,6,4585,-0.019098340053899,-0.0706537421836899,0.0226235971239392,0.2,crosses_zero,11
functional_motif_change,post_combustion_N2,298.0,0.075,standardized_absolute_difference,5,6,4585,-0.0092871645274239,-0.2080954492415427,0.3961998833138826,0.4,crosses_zero,12
functional_motif_change,post_combustion_N2,298.0,0.75,standardized_absolute_difference,5,6,4585,-0.0310966638152268,-0.1945970915312233,0.2678139435414873,0.4,crosses_zero,13
functional_motif_change,pre_combustion_CO2,313.0,0.4,standardized_absolute_difference,5,6,4585,0.0412484016484651,-0.0360130569886174,0.1940965818443978,0.8,crosses_zero,14
functional_motif_change,pre_combustion_CO2,313.0,16.0,standardized_absolute_difference,5,6,4582,-0.0199118520663354,-0.0491745702236566,0.0729151527393131,0.4,crosses_zero,15
functional_motif_change,pre_combustion_H2,313.0,0.6,standardized_absolute_difference,5,6,4585,-0.0209650964903829,-0.035068888674823,0.1485403076132678,0.4,crosses_zero,16
functional_motif_change,pre_combustion_H2,313.0,24.0,standardized_absolute_difference,5,6,4582,-0.0151640842602711,-0.0270210678378562,0.0548334108955527,0.4,crosses_zero,17
linker_family_change,landfill_CH4,338.0,0.01,standardized_absolute_difference,61,9006,4585,0.0433074463833755,0.0229116158252299,0.0608280937791395,0.6721311475409836,above_control,0
linker_family_change,landfill_CH4,338.0,4.4,standardized_absolute_difference,61,9006,4585,0.054099522711782,0.0315921200633363,0.0739138466047318,0.8032786885245902,above_control,1
linker_family_change,landfill_CO2,338.0,0.26,standardized_absolute_difference,61,9006,4585,0.0246303481398868,0.0014867472836149,0.0427261759498817,0.639344262295082,above_control,2
linker_family_change,landfill_CO2,338.0,3.2,standardized_absolute_difference,61,9006,4585,0.0337798905559591,0.0249732982416868,0.0508874587069006,0.7540983606557377,above_control,3
