quantity,intervention,comparison,guest_class,regime,T/K,CO2_target,coguest_target,CO2_pressure_bar,coguest_pressure_bar,measure,paired_groups,status,median_CO2,median_coguest,median_paired_difference_CO2_minus_coguest,median_bootstrap_95_low,median_bootstrap_95_high,mean_paired_difference_CO2_minus_coguest,mean_bootstrap_95_low,mean_bootstrap_95_high,fraction_groups_CO2_greater,fraction_bootstrap_95_low,fraction_bootstrap_95_high,y
heat_contrast,linker_family_change,landfill_CO2_vs_CH4,CO2_vs_CH4,low,338.0,landfill_CO2,landfill_CH4,0.26,0.01,absolute_hoa_difference,3494,OK,0.2955139999999998,0.1158485,0.1612259999999998,0.1503704999999999,0.1701586562500003,0.2152638133943903,0.205870506861763,0.2251397908056668,0.797366914710933,0.7839152833428735,0.8108185460789925,0
heat_contrast,linker_family_change,landfill_CO2_vs_CH4,CO2_vs_CH4,high,338.0,landfill_CO2,landfill_CH4,3.2,4.4,absolute_hoa_difference,3494,OK,0.4362425000000001,0.22801525,0.1432459999999999,0.1282875000000001,0.1573789999999997,0.186057594304522,0.1692818843875214,0.2031823103105323,0.6846021751574127,0.6688609044075559,0.6997710360618202,1
heat_contrast,linker_family_change,methane_purification_CO2_vs_CH4,CO2_vs_CH4,low,298.0,methane_purification_CO2,methane_purification_CH4,0.1,0.9,absolute_hoa_difference,3494,OK,0.3607090000000001,0.1557210000000001,0.1775339999999996,0.1654621124999998,0.1889869999999995,0.2366158732112192,0.224240016717945,0.2490586696765884,0.7552947910704064,0.7412707498568976,0.76960503720664,2
heat_contrast,linker_family_change,methane_purification_CO2_vs_CH4,CO2_vs_CH4,high,298.0,methane_purification_CO2,methane_purification_CH4,1.0,9.0,absolute_hoa_difference,3494,OK,0.5627070000000001,0.2641774999999999,0.2245784999999998,0.2108704999999997,0.2443772374999999,0.289100044361763,0.2670884551695764,0.3119030678520321,0.7263880938752146,0.7115054378935318,0.7409845449341729,3
heat_contrast,linker_family_change,post_combustion_CO2_vs_N2,CO2_vs_N2,low,298.0,post_combustion_CO2,post_combustion_N2,0.015,0.075,absolute_hoa_difference,3494,OK,0.3337015000000001,0.079573,0.2349620000000001,0.2215060000000006,0.2453320000000003,0.3089744949914138,0.2971154470020034,0.320912873375787,0.8577561534058386,0.8460217515741271,0.8692043503148255,4
heat_contrast,linker_family_change,post_combustion_CO2_vs_N2,CO2_vs_N2,high,298.0,post_combustion_CO2,post_combustion_N2,0.15,0.75,absolute_hoa_difference,3494,OK,0.3368329999999999,0.089255,0.2314340000000002,0.221225,0.2450049999999999,0.2875475286204922,0.2768849991664281,0.2985103434280194,0.8465941614195764,0.8345735546651403,0.8586147681740126,5
heat_contrast,linker_family_change,pre_combustion_CO2_vs_H2,CO2_vs_H2,low,313.0,pre_combustion_CO2,pre_combustion_H2,0.4,0.6,absolute_hoa_difference,3494,OK,0.301421,0.030088,0.2621034999999999,0.2531115249999991,0.2734544999999999,0.336606090583858,0.3264156947803377,0.3468556344376073,0.9447624499141384,0.9370349170005724,0.95220377790498,6
heat_contrast,linker_family_change,pre_combustion_CO2_vs_H2,CO2_vs_H2,high,313.0,pre_combustion_CO2,pre_combustion_H2,16.0,24.0,absolute_hoa_difference,3491,OK,0.4695180000000007,0.1932589999999998,0.2434925000000004,0.2256720000000003,0.259401,0.4415089782297336,0.4181602331924949,0.4659637645624463,0.7788599255227728,0.7651102835863649,0.7926095674591808,7
heat_contrast,metal_substitution,landfill_CO2_vs_CH4,CO2_vs_CH4,low,338.0,landfill_CO2,landfill_CH4,0.26,0.01,absolute_hoa_difference,453,OK,0.2790819999999998,0.0771920000000001,0.1988665000000002,0.1666170000000009,0.224526,0.2700858984547462,0.240262593294702,0.3020710155905077,0.8498896247240618,0.8167770419426048,0.8830022075055187,0
heat_contrast,metal_substitution,landfill_CO2_vs_CH4,CO2_vs_CH4,high,338.0,landfill_CO2,landfill_CH4,3.2,4.4,absolute_hoa_difference,453,OK,0.5005819999999996,0.30295,0.1613380000000002,0.0861430000000003,0.1928670000000001,0.1948586633554083,0.1439285107615893,0.2447892551324503,0.6644591611479028,0.6181015452538632,0.7086092715231788,1
heat_contrast,metal_substitution,methane_purification_CO2_vs_CH4,CO2_vs_CH4,low,298.0,methane_purification_CO2,methane_purification_CH4,0.1,0.9,absolute_hoa_difference,453,OK,0.4359619999999999,0.116241,0.2782080000000002,0.2387690000000004,0.322934,0.3415701004415011,0.3025071880794702,0.3831031076434878,0.8123620309050773,0.7748344370860927,0.847682119205298,2
heat_contrast,metal_substitution,methane_purification_CO2_vs_CH4,CO2_vs_CH4,high,298.0,methane_purification_CO2,methane_purification_CH4,1.0,9.0,absolute_hoa_difference,453,OK,0.7570390000000007,0.3411550000000001,0.3527574999999994,0.2702520000000001,0.430763,0.3795548322295805,0.3142834030905077,0.4475148408940397,0.7417218543046358,0.7019867549668874,0.7814569536423841,3
heat_contrast,metal_substitution,post_combustion_CO2_vs_N2,CO2_vs_N2,low,298.0,post_combustion_CO2,post_combustion_N2,0.015,0.075,absolute_hoa_difference,453,OK,0.3268120000000003,0.0836700000000001,0.2005759999999994,0.1683540000000003,0.2271769999999997,0.27887040397351,0.2433194083057395,0.314548772875276,0.847682119205298,0.8145695364238411,0.8807947019867549,4
heat_contrast,metal_substitution,post_combustion_CO2_vs_N2,CO2_vs_N2,high,298.0,post_combustion_CO2,post_combustion_N2,0.15,0.75,absolute_hoa_difference,453,OK,0.32261,0.098519,0.1982669999999999,0.16347,0.2286119999999996,0.2698736997792494,0.2311874957505518,0.3091433648730683,0.8410596026490066,0.8079470198675497,0.8741721854304636,5
heat_contrast,metal_substitution,pre_combustion_CO2_vs_H2,CO2_vs_H2,low,313.0,pre_combustion_CO2,pre_combustion_H2,0.4,0.6,absolute_hoa_difference,453,OK,0.3143045,0.0263379999999999,0.2768000000000001,0.2410729999999996,0.3015690000000004,0.3623364470198676,0.3304372837748345,0.3945496580022075,0.955849889624724,0.93598233995585,0.9735099337748344,6
heat_contrast,metal_substitution,pre_combustion_CO2_vs_H2,CO2_vs_H2,high,313.0,pre_combustion_CO2,pre_combustion_H2,16.0,24.0,absolute_hoa_difference,452,OK,0.5365205,0.17391475,0.3697665,0.3270200000000001,0.4163236937499997,0.6493616769911504,0.5176007190265487,0.8377973879701327,0.8429203539823009,0.8097345132743363,0.8761061946902655,7
