target,T/K,p/bar,effect_measure,status,mixed_support_cells,chemistry_pairs,control_pairs,unadjusted_linker_minus_control,unadjusted_bootstrap_95_low,unadjusted_bootstrap_95_high,adjusted_linker_minus_control,adjusted_bootstrap_95_low,adjusted_bootstrap_95_high,adjustment_change,relative_adjustment_change,adjusted_design_condition_number,failed_bootstrap_replicates
pre_combustion_H2,313.0,24.0,standardized_absolute_difference,OK,36,4334,4582,0.0604999352598835,0.0406063112661477,0.0831088833479768,-0.007175524196673,-0.0234457721170222,0.0098803677063929,-0.0676754594565565,-1.1186038326462642,11.7709983578363,0
methane_storage_CH4,298.0,65.0,standardized_absolute_difference,OK,36,4337,4585,0.0315899491511204,0.0236856324479024,0.0406954556244407,0.0049747467468277,-0.0030750028993067,0.0127826393513153,-0.0266152024042927,-0.8425212170165426,11.806935635574932,0
pre_combustion_H2,313.0,0.6,standardized_absolute_difference,OK,36,4337,4585,0.0565155748722761,0.0414948199854338,0.078452449455128,0.0150691646847709,0.0012680628673711,0.0325857747563333,-0.0414464101875052,-0.7333626222713486,11.806935635574932,0
pre_combustion_CO2,313.0,0.4,standardized_absolute_difference,OK,36,4337,4585,0.0729929111096162,0.0365330219559752,0.1195158265774473,0.0259978745876777,0.0040202402827195,0.0471996523105799,-0.0469950365219384,-0.643830144702192,11.806935635574932,0
pre_combustion_CO2,313.0,16.0,standardized_absolute_difference,OK,36,4334,4582,0.0366096198023573,0.0233192756292742,0.0476771359525468,0.018237072099972,0.0036768938857979,0.0310307243630334,-0.0183725477023853,-0.5018502732771424,11.7709983578363,0
post_combustion_CO2,298.0,0.15,standardized_absolute_difference,OK,36,4337,4585,0.0918410601997069,0.0472902095615328,0.1478691859559578,0.0476781069457985,0.0185902982731779,0.0785275077783427,-0.0441629532539084,-0.4808628423700334,11.806935635574932,0
methane_purification_CH4,298.0,0.9,standardized_absolute_difference,OK,36,4337,4585,0.0864426023818485,0.0465369183939705,0.1308539088863967,0.0471995588652768,0.0209742797987478,0.0739525454503877,-0.0392430435165717,-0.4539780436412695,11.806935635574932,0
methane_purification_CO2,298.0,0.1,standardized_absolute_difference,OK,36,4337,4585,0.1035815593107984,0.0585850646756069,0.1606161067839509,0.0579588488691427,0.0308951469470094,0.0869168487731244,-0.0456227104416556,-0.4404520529060956,11.806935635574932,0
landfill_CO2,338.0,3.2,standardized_absolute_difference,OK,36,4337,4585,0.0582267542119619,0.0391560072813568,0.0797618054655497,0.034030892150399,0.0125015282369932,0.0520979183607873,-0.0241958620615629,-0.4155454376433739,11.806935635574932,0
landfill_CO2,338.0,0.26,standardized_absolute_difference,OK,36,4337,4585,0.1155658778751288,0.0698832790932641,0.1672547184138059,0.0701193245865572,0.0363687880218955,0.1052592900957797,-0.0454465532885715,-0.3932523520279701,11.806935635574932,0
methane_storage_CH4,298.0,5.8,standardized_absolute_difference,OK,36,4337,4585,0.0874933629707082,0.0633324372572068,0.1151052845036194,0.0557631954367602,0.0367739444451751,0.0744869110779027,-0.031730167533948,-0.3626579943506216,11.806935635574932,0
landfill_CH4,338.0,4.4,standardized_absolute_difference,OK,36,4337,4585,0.0549312244877304,0.0324957893316129,0.0768834018262588,0.0382664369030357,0.0123610944326264,0.0620520895987352,-0.0166647875846946,-0.3033754979996291,11.806935635574932,0
landfill_CH4,338.0,0.01,standardized_absolute_difference,OK,36,4337,4585,0.0852306606747649,0.0556027005579841,0.1178249686421102,0.0613236270398648,0.0333551496774194,0.0890123411105569,-0.0239070336349001,-0.2804980443144506,11.806935635574932,0
methane_purification_CO2,298.0,1.0,standardized_absolute_difference,OK,36,4337,4585,0.0384025375177942,0.0179327023177297,0.0598378565305156,0.0324974568845309,0.0130475608461005,0.0514272486873119,-0.0059050806332632,-0.1537679803197149,11.806935635574932,0
methane_purification_CH4,298.0,9.0,standardized_absolute_difference,OK,36,4337,4585,0.0582780390090185,0.0445942726840411,0.0727985993308526,0.0513682446151165,0.0358750868947459,0.0673482001013594,-0.0069097943939019,-0.1185660072198498,11.806935635574932,0
post_combustion_N2,298.0,0.075,standardized_absolute_difference,OK,36,4337,4585,0.0892900802236202,0.0492889574042323,0.1347848834270084,0.081978522108389,0.0124989249230908,0.1615547224801753,-0.0073115581152311,-0.0818854468146958,11.806935635574932,0
post_combustion_CO2,298.0,0.015,standardized_absolute_difference,OK,36,4337,4585,0.1349749631047579,0.0421308303580433,0.2334034012060673,0.1471075698839375,0.060843648709929,0.2411261340644663,0.0121326067791795,0.0898878317882043,11.806935635574932,0
post_combustion_N2,298.0,0.75,standardized_absolute_difference,OK,36,4337,4585,0.0243791896062021,-0.016877727210265,0.0557651451507105,0.0446569619922499,-0.0119657726701267,0.1056144190292729,0.0202777723860477,0.8317656457657262,11.806935635574932,0
