pair_id,role,group,mode,A_mean,A_between_seed_sd,B_mean,B_between_seed_sd,A_over_B,absolute_fold_difference,signed_log2_A_over_B,approx_95ci_log2_low,approx_95ci_log2_high,welch_df_logratio,delta_total_energy_B_minus_A_K_per_CO2,delta_vdw_energy_B_minus_A_K_per_CO2,delta_coulomb_energy_B_minus_A_K_per_CO2
A1,strong_linker,linker_family,henry_full,2.8153496666666663e-05,1.6050166516374016e-06,9.712090666666669e-06,5.455703522382178e-07,2.898809085802053,2.898809085802053,1.535460321313663,1.350353867662701,1.7205667749646252,3.999129162874125,,,
A1,strong_linker,linker_family,henry_chargeoff,1.3559346666666666e-05,1.183906387065026e-08,3.89901e-06,3.2978439926714282e-09,3.477638340672803,3.477638340672803,1.7981079064088756,1.7952955021663306,1.8009203106514204,3.9959663538932864,,,
A2,near_null_linker,linker_family,henry_full,1.0864756666666667e-05,3.372604514812451e-07,1.118673e-05,4.028324501576314e-07,0.971218279753482,1.029634656643637,-0.0421325194001156,-0.1530283704389242,0.0687633316386929,3.914963609333997,,,
A2,near_null_linker,linker_family,henry_chargeoff,8.533617e-06,1.5259515195444276e-08,8.297144333333332e-06,1.0823730241157412e-08,1.0285004885014055,1.0285004885014055,0.0405424790921982,0.0352298878480783,0.045855070336318,3.658943972437175,,,
A3,strong_metal,metal_substitution,henry_full,3.374041333333333e-06,1.636367612528851e-08,7.302845333333333e-06,4.058019883272305e-07,0.4620173616347527,2.1644208270912317,-1.1139810288007117,-1.311037176381743,-0.9169248812196806,2.0304685375229976,,,
A3,strong_metal,metal_substitution,henry_chargeoff,3.184495e-06,6.558339195253568e-09,5.639890666666666e-06,2.337936777018012e-08,0.5646377187453752,1.7710471100336684,-0.8246025884353937,-0.8370384820092155,-0.812166694861572,2.930592435612769,,,
A4,cu_zn_pressure_exception,metal_substitution,henry_full,9.028731e-06,7.879266722861945e-08,1.4650133333333334e-05,4.66951805043447e-07,0.6162900223888748,1.6226126720724463,-0.6983186605334163,-0.8031803505730246,-0.5934569704938081,2.298183374584833,,,
A4,cu_zn_pressure_exception,metal_substitution,henry_chargeoff,6.733885333333333e-06,6.4196699551718165e-09,6.688215e-06,4.6136020634641145e-09,1.0068284786498838,1.0068284786498838,0.0098179295434766,0.0069883739260932,0.01264748516086,3.6436806685032734,,,
B1,confirmatory_strong_linker,linker_family,henry_full,2.9945980000000003e-05,2.20846438488376e-06,1.576558e-05,8.778327629451976e-07,1.8994531124132448,1.8994531124132448,0.925584099829322,0.7054100385731488,1.145758161085495,3.7209352141807126,,,
B1,confirmatory_strong_linker,linker_family,henry_chargeoff,1.2594836666666668e-05,7.2264813936892e-09,6.375977666666666e-06,1.225672588146317e-08,1.9753577137686549,1.9753577137686549,0.982113931846722,0.9758662104795705,0.9883616532138734,2.3535413071207785,,,
B2,confirmatory_near_null_linker,linker_family,henry_full,1.60051e-05,9.757671033602277e-08,1.6106456666666668e-05,7.052321130899628e-08,0.9937070785484164,1.0063327730952427,-0.0091074529641611,-0.0271873114696031,0.0089724055412808,3.629651702065477,,,
B2,confirmatory_near_null_linker,linker_family,henry_chargeoff,1.2594946666666666e-05,1.28010207926299e-08,1.433724e-05,2.4438189376465925e-08,0.8784777730348844,1.138332728152349,-0.1869223108028447,-0.1919513247597913,-0.1818932968458981,3.2625638302777547,,,
C1,process_discordant_linker,linker_family,henry_full,0.0001296752,3.322569775038595e-06,0.0001132778333333,3.813954496757046e-06,1.1447535337161123,1.1447535337161123,0.19503701844395,0.094388237265616,0.2956857996222841,3.734706529349233,,,
C1,process_discordant_linker,linker_family,henry_chargeoff,9.791443e-05,2.472424350713308e-07,9.129075e-05,2.360140036099591e-07,1.0725558723090785,1.0725558723090785,0.1010528035324521,0.0926935587937312,0.109412048271173,3.997780585070252,,,
C2,exploratory_functional_motif,functional_motif,henry_full,2.337557e-05,4.830169785835693e-07,2.3114373333333333e-05,4.072048788685289e-06,1.0113001837817508,1.0113001837817508,0.0162112953342977,-0.6034482963235078,0.6358708869921033,2.055019479434835,,,
C2,exploratory_functional_motif,functional_motif,henry_chargeoff,1.7818676666666667e-05,6.004550385610298e-08,1.950463e-05,2.545014734730412e-09,0.9135613783325632,1.0946172022127345,-0.1304264341886401,-0.1424778183147207,-0.1183750500625594,2.0059972767814265,,,
