pair_id,role,group,mode,A_mean,A_between_seed_sd,B_mean,B_between_seed_sd,A_over_B,absolute_fold_difference,signed_log2_A_over_B,approx_95ci_log2_low,approx_95ci_log2_high,welch_df_logratio,delta_total_energy_B_minus_A_K_per_CO2,delta_vdw_energy_B_minus_A_K_per_CO2,delta_coulomb_energy_B_minus_A_K_per_CO2
A1,strong_linker,linker_family,henry_full,2.8153496666666663e-05,1.6050166516374016e-06,9.712090666666669e-06,5.455703522382178e-07,2.8988090858020534,2.8988090858020534,1.535460321313663,1.350353867662701,1.7205667749646252,3.999129162874125,,,
A1,strong_linker,linker_family,henry_chargeoff,1.3559346666666666e-05,1.183906387065026e-08,3.89901e-06,3.297843992671428e-09,3.477638340672803,3.477638340672803,1.7981079064088756,1.7952955021663306,1.8009203106514204,3.9959663538932864,,,
A1,strong_linker,linker_family,gcmc_0p1bar,0.2976696333333333,0.0022383893100471,0.1007494833333333,0.000957804385474,2.9545524551077107,2.9545524551077107,1.5629396127391368,1.5343117499150931,1.5915674755631806,3.798576047157967,287.5421963177414,338.1063046334816,-50.56402393164058
A1,strong_linker,linker_family,gcmc_1bar,3.2913243333333333,0.0154762314641947,1.047502333333333,0.0172267796564922,3.1420687368397275,3.1420687368397275,1.6517147418075064,1.5979330730230212,1.7054964105919916,2.3248314423753933,206.292382273861,307.97792554637886,-101.6857374641762
A2,near_null_linker,linker_family,henry_full,1.0864756666666667e-05,3.372604514812451e-07,1.118673e-05,4.028324501576314e-07,0.9712182797534819,1.029634656643637,-0.04213251940011567,-0.15302837043892425,0.06876333163869293,3.9149636093339972,,,
A2,near_null_linker,linker_family,henry_chargeoff,8.533617e-06,1.5259515195444276e-08,8.297144333333332e-06,1.0823730241157412e-08,1.0285004885014055,1.0285004885014055,0.04054247909219821,0.03522988784807838,0.04585507033631804,3.6589439724371746,,,
A2,near_null_linker,linker_family,gcmc_0p1bar,0.1206771333333333,0.000963556253331,0.1140255333333333,0.0005397731591449,1.0583343029017478,1.0583343029017478,0.08179541285583876,0.05823174351663245,0.10535908219504508,3.2513630855386104,64.87604413744407,51.84077429322304,13.03553536742595
A2,near_null_linker,linker_family,gcmc_1bar,1.204848,0.004980750244692,1.165959,0.0119580982183623,1.0333536599485917,1.0333536599485917,0.04733409363507531,0.015570931576943432,0.07909725569320719,2.633158530968788,52.51747845719592,42.96848285890826,9.548849267705606
A3,strong_metal,metal_substitution,henry_full,3.374041333333333e-06,1.636367612528851e-08,7.302845333333333e-06,4.058019883272305e-07,0.46201736163475277,2.1644208270912313,-1.1139810288007117,-1.311037176381743,-0.9169248812196806,2.0304685375229976,,,
A3,strong_metal,metal_substitution,henry_chargeoff,3.184495e-06,6.558339195253568e-09,5.639890666666666e-06,2.337936777018012e-08,0.5646377187453752,1.7710471100336684,-0.8246025884353937,-0.8370384820092155,-0.812166694861572,2.930592435612769,,,
A3,strong_metal,metal_substitution,gcmc_0p1bar,0.0338853933333333,0.0002629989753465,0.0764897133333333,0.0009875237512249,0.44300588741475183,2.257306343795332,-1.174602222997303,-1.2126807927358385,-1.1365236532587675,3.278615149489099,-692.4402741631125,-358.678684978418,-333.7618297653617
A3,strong_metal,metal_substitution,gcmc_1bar,0.3454575333333333,0.0018381997017008,0.7538087,0.0153960142657117,0.458282762368401,2.182058942893705,-1.1256900730051989,-1.1933249952440896,-1.058055150766308,2.270249928389001,-674.2693393936901,-351.8637683190336,-322.40543032885193
A4,cu_zn_pressure_exception,metal_substitution,henry_full,9.028731e-06,7.879266722861944e-08,1.4650133333333334e-05,4.66951805043447e-07,0.6162900223888748,1.6226126720724465,-0.6983186605334163,-0.8031803505730246,-0.5934569704938081,2.2981833745848332,,,
A4,cu_zn_pressure_exception,metal_substitution,henry_chargeoff,6.733885333333333e-06,6.4196699551718165e-09,6.688215e-06,4.613602063464114e-09,1.0068284786498838,1.0068284786498838,0.009817929543476682,0.006988373926093265,0.012647485160860098,3.6436806685032743,,,
A4,cu_zn_pressure_exception,metal_substitution,gcmc_0p1bar,0.09446839,0.0011648206052006,0.1471995333333333,0.0008469357846574,0.6417709884044018,1.5581882292408422,-0.6398695215828797,-0.6771826192687523,-0.602556423897007,2.8315446697028492,-519.3472673542873,45.7733242662357,-565.1205490757618
A4,cu_zn_pressure_exception,metal_substitution,gcmc_1bar,0.9377243,0.001324205033218,1.4299893333333331,0.0049390001349801,0.6557561501624255,1.5249571044851171,-0.6087686616807872,-0.6194402628845965,-0.5980970604769779,2.650486069395594,-483.6192419872533,38.012812902688665,-521.6320471534048
B1,confirmatory_strong_linker,linker_family,henry_full,2.9945980000000003e-05,2.20846438488376e-06,1.576558e-05,8.778327629451976e-07,1.8994531124132448,1.8994531124132448,0.9255840998293219,0.7054100385731488,1.145758161085495,3.7209352141807126,,,
B1,confirmatory_strong_linker,linker_family,henry_chargeoff,1.2594836666666668e-05,7.2264813936892e-09,6.375977666666666e-06,1.225672588146317e-08,1.9753577137686549,1.9753577137686549,0.9821139318467219,0.9758662104795705,0.9883616532138734,2.3535413071207785,,,
B1,confirmatory_strong_linker,linker_family,gcmc_0p1bar,0.3204678333333333,0.0041408954591167,0.1606452333333333,0.0013975488590147,1.9948791923901883,1.9948791923901883,0.9963013811259028,0.9581751949361543,1.0344275673156513,3.5041139284702822,256.52902647031624,338.2840017700173,-81.75505522035633
B1,confirmatory_strong_linker,linker_family,gcmc_1bar,2.8880546666666667,0.0122798994024109,1.50152,0.0107512066299555,1.923420711456835,1.923420711456835,0.9436743591142757,0.9225450958148598,0.9648036224136917,3.2545392874559593,234.90685272141943,321.57765408806563,-86.67093741954625
B2,confirmatory_near_null_linker,linker_family,henry_full,1.60051e-05,9.757671033602277e-08,1.6106456666666668e-05,7.052321130899627e-08,0.9937070785484164,1.0063327730952427,-0.009107452964161137,-0.027187311469603164,0.008972405541280891,3.629651702065477,,,
B2,confirmatory_near_null_linker,linker_family,henry_chargeoff,1.2594946666666666e-05,1.28010207926299e-08,1.433724e-05,2.4438189376465925e-08,0.8784777730348844,1.138332728152349,-0.18692231080284474,-0.19195132475979132,-0.18189329684589817,3.2625638302777547,,,
B2,confirmatory_near_null_linker,linker_family,gcmc_0p1bar,0.1614445,0.0005445016345246,0.1644659666666666,0.0033370460025797,0.9816286206325567,1.0187152034703357,-0.026750781662107474,-0.09688973919395209,0.04338817586973715,2.110435356071116,34.687884942402206,-33.47974614078544,68.16780939032014
