pair_id,endpoint,mof_id,mode,pressure_pa,n_replicates,mean,between_seed_sd,between_seed_se,unit,mean_energy_total_per_co2_K,sd_energy_total_per_co2_K,mean_energy_vdw_per_co2_K,sd_energy_vdw_per_co2_K,mean_energy_coulomb_per_co2_K,sd_energy_coulomb_per_co2_K
A1,A,DB0-m3_o11_o17_f0_pcu.sym.32,gcmc_0p1bar,10000.0,3,0.29766963333333335,0.002238389310047159,0.001292334670706908,mol/kg,-2161.4870458042687,26.57490195571901,-1621.3278321056648,17.795638908570826,-540.1591381484307,8.787371504750912
A1,A,DB0-m3_o11_o17_f0_pcu.sym.32,gcmc_1bar,100000.0,3,3.2913243333333333,0.015476231464194716,0.008935206401893776,mol/kg,-2056.01351105524,3.664315517142993,-1579.885392244226,0.16171312456338247,-476.1280847596023,3.7541740786629294
A1,A,DB0-m3_o11_o17_f0_pcu.sym.32,henry_chargeoff,,3,1.3559346666666666e-05,1.183906387065026e-08,6.835286712673101e-09,mol/kg/Pa,nan,nan,nan,nan,nan,nan
A1,A,DB0-m3_o11_o17_f0_pcu.sym.32,henry_full,,3,2.8153496666666666e-05,1.6050166516374016e-06,9.266567958766857e-07,mol/kg/Pa,nan,nan,nan,nan,nan,nan
A1,B,DB0-m3_o12_o20_f0_pcu.sym.24,gcmc_0p1bar,10000.0,3,0.10074948333333333,0.0009578043854740574,0.0005529886197844512,mol/kg,-1873.9448494865273,8.043486173769757,-1283.2215274721832,7.955670195956863,-590.7231620800712,1.8712619304816376
A1,B,DB0-m3_o12_o20_f0_pcu.sym.24,gcmc_1bar,100000.0,3,1.0475023333333333,0.017226779656492268,0.00994588587194618,mol/kg,-1849.721128781379,10.346928217928996,-1271.9074666978472,4.903708135230303,-577.8138222237785,5.518391685588081
A1,B,DB0-m3_o12_o20_f0_pcu.sym.24,henry_chargeoff,,3,3.89901e-06,3.2978439926714282e-09,1.9040111169142395e-09,mol/kg/Pa,nan,nan,nan,nan,nan,nan
A1,B,DB0-m3_o12_o20_f0_pcu.sym.24,henry_full,,3,9.712090666666667e-06,5.455703522382178e-07,3.14985189726614e-07,mol/kg/Pa,nan,nan,nan,nan,nan,nan
A2,A,DB0-m2_o23_o28_f0_nbo.sym.21,gcmc_0p1bar,10000.0,3,0.12067713333333334,0.0009635562533310323,0.0005563094622400188,mol/kg,-1222.3040268824327,15.578328317045509,-965.6491548594075,14.11982993997444,-256.6554128493578,2.0449093866534493
A2,A,DB0-m2_o23_o28_f0_nbo.sym.21,gcmc_1bar,100000.0,3,1.2048480000000001,0.004980750244692004,0.002875637494539223,mol/kg,-1199.3224496145012,5.201829724873355,-946.4526263894012,4.361163306907424,-252.86994401318026,0.8447346208818745
A2,A,DB0-m2_o23_o28_f0_nbo.sym.21,henry_chargeoff,,3,8.533617e-06,1.5259515195444276e-08,8.810085205792938e-09,mol/kg/Pa,nan,nan,nan,nan,nan,nan
A2,A,DB0-m2_o23_o28_f0_nbo.sym.21,henry_full,,3,1.0864756666666667e-05,3.372604514812451e-07,1.9471741244971157e-07,mol/kg/Pa,nan,nan,nan,nan,nan,nan
A2,B,DB0-m2_o23_o28_f0_nbo.sym.4,gcmc_0p1bar,10000.0,3,0.11402553333333333,0.0005397731591449659,0.0003116381787336808,mol/kg,-1157.4279827449886,9.110599285653581,-913.8083805661845,6.401386335300347,-243.61987748193184,3.2811931262395326
A2,B,DB0-m2_o23_o28_f0_nbo.sym.4,gcmc_1bar,100000.0,3,1.165959,0.01195809821836233,0.006904011225367476,mol/kg,-1146.8049711573053,4.793545940113877,-903.4841435304929,1.9836247947017638,-243.32109474547465,3.004688877924997
A2,B,DB0-m2_o23_o28_f0_nbo.sym.4,henry_chargeoff,,3,8.297144333333332e-06,1.0823730241157413e-08,6.249083568368126e-09,mol/kg/Pa,nan,nan,nan,nan,nan,nan
A2,B,DB0-m2_o23_o28_f0_nbo.sym.4,henry_full,,3,1.118673e-05,4.0283245015763136e-07,2.3257542353682497e-07,mol/kg/Pa,nan,nan,nan,nan,nan,nan
A3,A,DB0-m2_o7_o7_f0_nbo.sym.45,gcmc_0p1bar,10000.0,3,0.03388539333333333,0.00026299897534654557,0.00015184252921292385,mol/kg,-805.2965625282018,38.25283985763164,-756.8823328681967,37.89256548851914,-48.41415575195972,5.0580802057100405
A3,A,DB0-m2_o7_o7_f0_nbo.sym.45,gcmc_1bar,100000.0,3,0.34545753333333334,0.0018381997017008947,0.0010612850926013013,mol/kg,-803.9992929438462,1.7151434661220015,-756.0351514316558,1.804930187024438,-47.96416349756524,2.585083545501994
