pair_id,role,group,mode,A_mof,B_mof,A_mean,A_between_seed_sd,B_mean,B_between_seed_sd,A_over_B,absolute_fold_difference,absolute_log_contrast,delta_total_energy_B_minus_A_K_per_CO2,delta_vdw_energy_B_minus_A_K_per_CO2,delta_coulomb_energy_B_minus_A_K_per_CO2,chargeoff_abs_log_contrast,chargeoff_contrast_retention_fraction
A1,strong_linker,linker_family,henry_full,DB0-m3_o11_o17_f0_pcu.sym.32,DB0-m3_o12_o20_f0_pcu.sym.24,2.8153496666666666e-05,1.6050166516374016e-06,9.712090666666667e-06,5.455703522382178e-07,2.8988090858020543,2.8988090858020543,1.064299992580235,,,,1.2463534256698576,1.171054622154287
A1,strong_linker,linker_family,henry_chargeoff,DB0-m3_o11_o17_f0_pcu.sym.32,DB0-m3_o12_o20_f0_pcu.sym.24,1.3559346666666666e-05,1.183906387065026e-08,3.89901e-06,3.2978439926714282e-09,3.477638340672803,3.477638340672803,1.2463534256698576,,,,,
A1,strong_linker,linker_family,gcmc_0p1bar,DB0-m3_o11_o17_f0_pcu.sym.32,DB0-m3_o12_o20_f0_pcu.sym.24,0.29766963333333335,0.002238389310047159,0.10074948333333333,0.0009578043854740574,2.9545524551077103,2.9545524551077103,1.0833471859555854,287.5421963177414,338.1063046334816,-50.56402393164058,,
A1,strong_linker,linker_family,gcmc_1bar,DB0-m3_o11_o17_f0_pcu.sym.32,DB0-m3_o12_o20_f0_pcu.sym.24,3.2913243333333333,0.015476231464194716,1.0475023333333333,0.017226779656492268,3.142068736839727,3.142068736839727,1.1448814163731709,206.292382273861,307.97792554637886,-101.68573746417621,,
A2,near_null_linker,linker_family,henry_full,DB0-m2_o23_o28_f0_nbo.sym.21,DB0-m2_o23_o28_f0_nbo.sym.4,1.0864756666666667e-05,3.372604514812451e-07,1.118673e-05,4.0283245015763136e-07,0.9712182797534819,1.029634656643637,0.029204037032076968,,,,0.028101905075667233,0.962260972508726
A2,near_null_linker,linker_family,henry_chargeoff,DB0-m2_o23_o28_f0_nbo.sym.21,DB0-m2_o23_o28_f0_nbo.sym.4,8.533617e-06,1.5259515195444276e-08,8.297144333333332e-06,1.0823730241157413e-08,1.0285004885014055,1.0285004885014055,0.028101905075667233,,,,,
A2,near_null_linker,linker_family,gcmc_0p1bar,DB0-m2_o23_o28_f0_nbo.sym.21,DB0-m2_o23_o28_f0_nbo.sym.4,0.12067713333333334,0.0009635562533310323,0.11402553333333333,0.0005397731591449659,1.0583343029017478,1.0583343029017478,0.056696259803761695,64.87604413744407,51.840774293223035,13.03553536742595,,
A2,near_null_linker,linker_family,gcmc_1bar,DB0-m2_o23_o28_f0_nbo.sym.21,DB0-m2_o23_o28_f0_nbo.sym.4,1.2048480000000001,0.004980750244692004,1.165959,0.01195809821836233,1.0333536599485917,1.0333536599485917,0.032809493547513,52.51747845719592,42.96848285890826,9.548849267705606,,
A3,strong_metal,metal_substitution,henry_full,DB0-m2_o7_o7_f0_nbo.sym.45,DB0-m3_o7_o7_f0_nbo.sym.48,3.3740413333333334e-06,1.636367612528851e-08,7.3028453333333335e-06,4.058019883272305e-07,0.46201736163475277,2.164420827091231,0.7721528093104819,,,,0.5715709592564266,0.7402303693835277
A3,strong_metal,metal_substitution,henry_chargeoff,DB0-m2_o7_o7_f0_nbo.sym.45,DB0-m3_o7_o7_f0_nbo.sym.48,3.184495e-06,6.558339195253568e-09,5.639890666666666e-06,2.3379367770180118e-08,0.5646377187453752,1.7710471100336684,0.5715709592564266,,,,,
