frozen_case_pair_key,id_a,id_b,pair_lo,pair_hi,intervention,chemical_class,geometry_tier,topology,Dimensionality,metals_a,metals_b,metal_site_count_a_x,metal_site_count_b_x,metal_site_count_ratio,Di_diff,Df_diff,Dif_diff,Density_diff,UC_volume_diff,AVAf_diff,POAVAf_diff,member_path_a,status_a,metal_a,metal_site_count_a_y,default_signature_a,geometry_signature_a,within_framework_stable_a,default_warning_count_a,geometry_warning_count_a,failed_site_count_a,error_a,member_path_b,status_b,metal_b,metal_site_count_b_y,default_signature_b,geometry_signature_b,within_framework_stable_b,default_warning_count_b,geometry_warning_count_b,failed_site_count_b,error_b,coordination_class,transition,metal_site_count_a,metal_site_count_b,linker_cluster_a,linker_cluster_b,functional_cluster_a,functional_cluster_b,variant_a,variant_b,variant_lo,variant_hi,tier,tier_order,fraction_Di_diff,fraction_Df_diff,fraction_Dif_diff,fraction_Density_diff,fraction_UC_volume_diff,fraction_AVAf_diff,fraction_POAVAf_diff,residual_geometry_score,maximum_fraction_of_limit,related_group_id,pair_key,process,uptake_a,working_capacity_a,selectivity_a,uptake_valid_a,working_capacity_valid_a,selectivity_valid_a,uptake_b,working_capacity_b,selectivity_b,uptake_valid_b,working_capacity_valid_b,selectivity_valid_b,uptake_pair_complete,working_capacity_pair_complete,selectivity_pair_complete,absolute_uptake_difference,absolute_working_capacity_difference,absolute_selectivity_difference,working_capacity_change_oriented_by_uptake,selectivity_change_oriented_by_uptake,uptake_working_capacity_concordant,uptake_selectivity_concordant
DB0-m9_o17_o27_f0_sra.sym.116 || DB0-m9_o17_o27_f0_sra.sym.117,DB0-m9_o17_o27_f0_sra.sym.117,DB0-m9_o17_o27_f0_sra.sym.116,DB0-m9_o17_o27_f0_sra.sym.116,DB0-m9_o17_o27_f0_sra.sym.117,functional_motif_change,composition_clean,stringent,sra,3D framework,V,V,,,1.0,0.0057643525019912,0.0134790778368874,0.0034788623882087,3.7855227252037794e-05,3.907570918658174e-05,0.00844,0.003,,,,,,,,,,,,,,,,,,,,,,,,-2360 <-> 15980,4.0,4.0,,,15980.0,-2360.0,DB0-m9_o17_o27_f0_sra.sym.117,DB0-m9_o17_o27_f0_sra.sym.116,DB0-m9_o17_o27_f0_sra.sym.116,DB0-m9_o17_o27_f0_sra.sym.117,primary,3,0.1921450833997089,0.4493025945629137,0.1159620796069596,0.0007571045450407,0.0007815141837316,0.2813333333333334,0.1,0.2208391097863439,0.4493025945629137,group_10e31f969d7a11a5,DB0-m9_o17_o27_f0_sra.sym.116 || DB0-m9_o17_o27_f0_sra.sym.117,landfill-gas-vpsa,3.662342,3.320217,3.325758,True,True,True,3.314074,3.039556,3.052397,True,True,True,True,True,True,0.348268,0.2806609999999998,0.2733609999999999,0.2806609999999998,0.2733609999999999,True,True
DB0-m9_o17_o27_f0_sra.sym.116 || DB0-m9_o17_o27_f0_sra.sym.117,DB0-m9_o17_o27_f0_sra.sym.117,DB0-m9_o17_o27_f0_sra.sym.116,DB0-m9_o17_o27_f0_sra.sym.116,DB0-m9_o17_o27_f0_sra.sym.117,functional_motif_change,composition_clean,stringent,sra,3D framework,V,V,,,1.0,0.0057643525019912,0.0134790778368874,0.0034788623882087,3.7855227252037794e-05,3.907570918658174e-05,0.00844,0.003,,,,,,,,,,,,,,,,,,,,,,,,-2360 <-> 15980,4.0,4.0,,,15980.0,-2360.0,DB0-m9_o17_o27_f0_sra.sym.117,DB0-m9_o17_o27_f0_sra.sym.116,DB0-m9_o17_o27_f0_sra.sym.116,DB0-m9_o17_o27_f0_sra.sym.117,primary,3,0.1921450833997089,0.4493025945629137,0.1159620796069596,0.0007571045450407,0.0007815141837316,0.2813333333333334,0.1,0.2208391097863439,0.4493025945629137,group_10e31f969d7a11a5,DB0-m9_o17_o27_f0_sra.sym.116 || DB0-m9_o17_o27_f0_sra.sym.117,methane-storage-psa,11.933088,7.621163,,True,True,False,11.81244,7.767436,,True,True,False,True,True,False,0.1206479999999992,0.1462729999999998,,-0.1462729999999998,,False,
DB0-m9_o17_o27_f0_sra.sym.116 || DB0-m9_o17_o27_f0_sra.sym.117,DB0-m9_o17_o27_f0_sra.sym.117,DB0-m9_o17_o27_f0_sra.sym.116,DB0-m9_o17_o27_f0_sra.sym.116,DB0-m9_o17_o27_f0_sra.sym.117,functional_motif_change,composition_clean,stringent,sra,3D framework,V,V,,,1.0,0.0057643525019912,0.0134790778368874,0.0034788623882087,3.7855227252037794e-05,3.907570918658174e-05,0.00844,0.003,,,,,,,,,,,,,,,,,,,,,,,,-2360 <-> 15980,4.0,4.0,,,15980.0,-2360.0,DB0-m9_o17_o27_f0_sra.sym.117,DB0-m9_o17_o27_f0_sra.sym.116,DB0-m9_o17_o27_f0_sra.sym.116,DB0-m9_o17_o27_f0_sra.sym.117,primary,3,0.1921450833997089,0.4493025945629137,0.1159620796069596,0.0007571045450407,0.0007815141837316,0.2813333333333334,0.1,0.2208391097863439,0.4493025945629137,group_10e31f969d7a11a5,DB0-m9_o17_o27_f0_sra.sym.116 || DB0-m9_o17_o27_f0_sra.sym.117,natural-gas-purification,2.47264,2.085041,4.379697,True,True,True,2.599972,2.24922,4.861926,True,True,True,True,True,True,0.127332,0.1641790000000003,0.4822290000000002,0.1641790000000003,0.4822290000000002,True,True
DB0-m9_o17_o27_f0_sra.sym.116 || DB0-m9_o17_o27_f0_sra.sym.117,DB0-m9_o17_o27_f0_sra.sym.117,DB0-m9_o17_o27_f0_sra.sym.116,DB0-m9_o17_o27_f0_sra.sym.116,DB0-m9_o17_o27_f0_sra.sym.117,functional_motif_change,composition_clean,stringent,sra,3D framework,V,V,,,1.0,0.0057643525019912,0.0134790778368874,0.0034788623882087,3.7855227252037794e-05,3.907570918658174e-05,0.00844,0.003,,,,,,,,,,,,,,,,,,,,,,,,-2360 <-> 15980,4.0,4.0,,,15980.0,-2360.0,DB0-m9_o17_o27_f0_sra.sym.117,DB0-m9_o17_o27_f0_sra.sym.116,DB0-m9_o17_o27_f0_sra.sym.116,DB0-m9_o17_o27_f0_sra.sym.117,primary,3,0.1921450833997089,0.4493025945629137,0.1159620796069596,0.0007571045450407,0.0007815141837316,0.2813333333333334,0.1,0.2208391097863439,0.4493025945629137,group_10e31f969d7a11a5,DB0-m9_o17_o27_f0_sra.sym.116 || DB0-m9_o17_o27_f0_sra.sym.117,post-combustion-vsa,0.513143,0.43445,19.275835,True,True,True,0.460739,0.397279,14.17653,True,True,True,True,True,True,0.052404,0.037171,5.099305000000001,0.037171,5.099305000000001,True,True
DB0-m9_o17_o27_f0_sra.sym.116 || DB0-m9_o17_o27_f0_sra.sym.117,DB0-m9_o17_o27_f0_sra.sym.117,DB0-m9_o17_o27_f0_sra.sym.116,DB0-m9_o17_o27_f0_sra.sym.116,DB0-m9_o17_o27_f0_sra.sym.117,functional_motif_change,composition_clean,stringent,sra,3D framework,V,V,,,1.0,0.0057643525019912,0.0134790778368874,0.0034788623882087,3.7855227252037794e-05,3.907570918658174e-05,0.00844,0.003,,,,,,,,,,,,,,,,,,,,,,,,-2360 <-> 15980,4.0,4.0,,,15980.0,-2360.0,DB0-m9_o17_o27_f0_sra.sym.117,DB0-m9_o17_o27_f0_sra.sym.116,DB0-m9_o17_o27_f0_sra.sym.116,DB0-m9_o17_o27_f0_sra.sym.117,primary,3,0.1921450833997089,0.4493025945629137,0.1159620796069596,0.0007571045450407,0.0007815141837316,0.2813333333333334,0.1,0.2208391097863439,0.4493025945629137,group_10e31f969d7a11a5,DB0-m9_o17_o27_f0_sra.sym.116 || DB0-m9_o17_o27_f0_sra.sym.117,pre-combustion-40-40,14.986001,14.021861,124.258712,True,True,True,14.202206,13.475898,96.546714,True,True,True,True,True,True,0.7837949999999996,0.5459629999999986,27.71199800000001,0.5459629999999986,27.71199800000001,True,True
DB0-m2_o23_o28_f0_nbo.sym.21 || DB0-m2_o23_o28_f0_nbo.sym.4,DB0-m2_o23_o28_f0_nbo.sym.21,DB0-m2_o23_o28_f0_nbo.sym.4,DB0-m2_o23_o28_f0_nbo.sym.21,DB0-m2_o23_o28_f0_nbo.sym.4,linker_family_change,composition_clean,stringent,nbo,3D framework,Cu,Cu,,,1.0,0.0008597440643201,0.0030813221518042,0.0008597440643201,0.0050270936968428,0.0066154790235433,0.0044199999999999,0.0004999999999999,,,,,,,,,,,,,,,,,,,,,,,,40141 <-> 43459,12.0,12.0,40141.0,43459.0,,,DB0-m2_o23_o28_f0_nbo.sym.21,DB0-m2_o23_o28_f0_nbo.sym.4,DB0-m2_o23_o28_f0_nbo.sym.21,DB0-m2_o23_o28_f0_nbo.sym.4,primary,3,0.0286581354773392,0.1027107383934763,0.0286581354773392,0.1005418739368573,0.132309580470867,0.1473333333333326,0.0166666666666648,0.0939539823739021,0.1473333333333326,group_c099355d8a34f8c1,DB0-m2_o23_o28_f0_nbo.sym.21 || DB0-m2_o23_o28_f0_nbo.sym.4,landfill-gas-vpsa,2.427912,2.208323,1.803779,True,True,True,2.496868,2.282989,1.834891,True,True,True,True,True,True,0.068956,0.0746660000000001,0.031112,0.0746660000000001,0.031112,True,True
DB0-m2_o23_o28_f0_nbo.sym.21 || DB0-m2_o23_o28_f0_nbo.sym.4,DB0-m2_o23_o28_f0_nbo.sym.21,DB0-m2_o23_o28_f0_nbo.sym.4,DB0-m2_o23_o28_f0_nbo.sym.21,DB0-m2_o23_o28_f0_nbo.sym.4,linker_family_change,composition_clean,stringent,nbo,3D framework,Cu,Cu,,,1.0,0.0008597440643201,0.0030813221518042,0.0008597440643201,0.0050270936968428,0.0066154790235433,0.0044199999999999,0.0004999999999999,,,,,,,,,,,,,,,,,,,,,,,,40141 <-> 43459,12.0,12.0,40141.0,43459.0,,,DB0-m2_o23_o28_f0_nbo.sym.21,DB0-m2_o23_o28_f0_nbo.sym.4,DB0-m2_o23_o28_f0_nbo.sym.21,DB0-m2_o23_o28_f0_nbo.sym.4,primary,3,0.0286581354773392,0.1027107383934763,0.0286581354773392,0.1005418739368573,0.132309580470867,0.1473333333333326,0.0166666666666648,0.0939539823739021,0.1473333333333326,group_c099355d8a34f8c1,DB0-m2_o23_o28_f0_nbo.sym.21 || DB0-m2_o23_o28_f0_nbo.sym.4,methane-storage-psa,34.029991,30.561429,,True,True,False,34.231291,30.914545,,True,True,False,True,True,False,0.2012999999999962,0.353116,,0.353116,,True,
DB0-m2_o23_o28_f0_nbo.sym.21 || DB0-m2_o23_o28_f0_nbo.sym.4,DB0-m2_o23_o28_f0_nbo.sym.21,DB0-m2_o23_o28_f0_nbo.sym.4,DB0-m2_o23_o28_f0_nbo.sym.21,DB0-m2_o23_o28_f0_nbo.sym.4,linker_family_change,composition_clean,stringent,nbo,3D framework,Cu,Cu,,,1.0,0.0008597440643201,0.0030813221518042,0.0008597440643201,0.0050270936968428,0.0066154790235433,0.0044199999999999,0.0004999999999999,,,,,,,,,,,,,,,,,,,,,,,,40141 <-> 43459,12.0,12.0,40141.0,43459.0,,,DB0-m2_o23_o28_f0_nbo.sym.21,DB0-m2_o23_o28_f0_nbo.sym.4,DB0-m2_o23_o28_f0_nbo.sym.21,DB0-m2_o23_o28_f0_nbo.sym.4,primary,3,0.0286581354773392,0.1027107383934763,0.0286581354773392,0.1005418739368573,0.132309580470867,0.1473333333333326,0.0166666666666648,0.0939539823739021,0.1473333333333326,group_c099355d8a34f8c1,DB0-m2_o23_o28_f0_nbo.sym.21 || DB0-m2_o23_o28_f0_nbo.sym.4,natural-gas-purification,1.468355,1.321037,2.474208,True,True,True,1.243148,1.085191,2.115423,True,True,True,True,True,True,0.2252070000000001,0.235846,0.3587850000000001,0.235846,0.3587850000000001,True,True
DB0-m2_o23_o28_f0_nbo.sym.21 || DB0-m2_o23_o28_f0_nbo.sym.4,DB0-m2_o23_o28_f0_nbo.sym.21,DB0-m2_o23_o28_f0_nbo.sym.4,DB0-m2_o23_o28_f0_nbo.sym.21,DB0-m2_o23_o28_f0_nbo.sym.4,linker_family_change,composition_clean,stringent,nbo,3D framework,Cu,Cu,,,1.0,0.0008597440643201,0.0030813221518042,0.0008597440643201,0.0050270936968428,0.0066154790235433,0.0044199999999999,0.0004999999999999,,,,,,,,,,,,,,,,,,,,,,,,40141 <-> 43459,12.0,12.0,40141.0,43459.0,,,DB0-m2_o23_o28_f0_nbo.sym.21,DB0-m2_o23_o28_f0_nbo.sym.4,DB0-m2_o23_o28_f0_nbo.sym.21,DB0-m2_o23_o28_f0_nbo.sym.4,primary,3,0.0286581354773392,0.1027107383934763,0.0286581354773392,0.1005418739368573,0.132309580470867,0.1473333333333326,0.0166666666666648,0.0939539823739021,0.1473333333333326,group_c099355d8a34f8c1,DB0-m2_o23_o28_f0_nbo.sym.21 || DB0-m2_o23_o28_f0_nbo.sym.4,post-combustion-vsa,0.212339,0.170203,1.159525,True,True,True,0.187249,0.150824,1.20783,True,True,True,True,True,True,0.02509,0.0193789999999999,0.048305,0.0193789999999999,-0.048305,True,False
DB0-m2_o23_o28_f0_nbo.sym.21 || DB0-m2_o23_o28_f0_nbo.sym.4,DB0-m2_o23_o28_f0_nbo.sym.21,DB0-m2_o23_o28_f0_nbo.sym.4,DB0-m2_o23_o28_f0_nbo.sym.21,DB0-m2_o23_o28_f0_nbo.sym.4,linker_family_change,composition_clean,stringent,nbo,3D framework,Cu,Cu,,,1.0,0.0008597440643201,0.0030813221518042,0.0008597440643201,0.0050270936968428,0.0066154790235433,0.0044199999999999,0.0004999999999999,,,,,,,,,,,,,,,,,,,,,,,,40141 <-> 43459,12.0,12.0,40141.0,43459.0,,,DB0-m2_o23_o28_f0_nbo.sym.21,DB0-m2_o23_o28_f0_nbo.sym.4,DB0-m2_o23_o28_f0_nbo.sym.21,DB0-m2_o23_o28_f0_nbo.sym.4,primary,3,0.0286581354773392,0.1027107383934763,0.0286581354773392,0.1005418739368573,0.132309580470867,0.1473333333333326,0.0166666666666648,0.0939539823739021,0.1473333333333326,group_c099355d8a34f8c1,DB0-m2_o23_o28_f0_nbo.sym.21 || DB0-m2_o23_o28_f0_nbo.sym.4,pre-combustion-40-40,16.968447,16.543312,5.827275,True,True,True,16.936198,16.514875,5.825404,True,True,True,True,True,True,0.0322490000000001,0.0284370000000002,0.0018710000000004,0.0284370000000002,0.0018710000000004,True,True
DB0-m3_o11_o17_f0_pcu.sym.32 || DB0-m3_o12_o20_f0_pcu.sym.24,DB0-m3_o11_o17_f0_pcu.sym.32,DB0-m3_o12_o20_f0_pcu.sym.24,DB0-m3_o11_o17_f0_pcu.sym.32,DB0-m3_o12_o20_f0_pcu.sym.24,linker_family_change,composition_clean,stringent,pcu,3D framework,Zn,Zn,,,1.0,0.0269000279114057,0.0146840445762403,0.0269000279114057,0.0274941295268369,0.0172211136320149,0.0201,0.0115,,,,,,,,,,,,,,,,,,,,,,,,-49301 <-> -6941,2.0,2.0,-6941.0,-49301.0,,,DB0-m3_o11_o17_f0_pcu.sym.32,DB0-m3_o12_o20_f0_pcu.sym.24,DB0-m3_o11_o17_f0_pcu.sym.32,DB0-m3_o12_o20_f0_pcu.sym.24,primary,3,0.8966675970468596,0.4894681525413436,0.8966675970468596,0.5498825905367385,0.344422272640299,0.6700000000000003,0.3833333333333355,0.6396926316878805,0.8966675970468596,group_9cf7a1497661e7ac,DB0-m3_o11_o17_f0_pcu.sym.32 || DB0-m3_o12_o20_f0_pcu.sym.24,landfill-gas-vpsa,5.180608,4.819186,3.851242,True,True,True,2.034921,1.868535,3.446575,True,True,True,True,True,True,3.145687,2.950651,0.4046669999999999,2.950651,0.4046669999999999,True,True
