intervention,target,T/K,effect_measure,p/bar_low,p/bar_high,paired_related_groups,median_heat_low,median_heat_high,median_heat_change_high_minus_low,median_adsorption_low,median_adsorption_high,median_adsorption_change_high_minus_low,spearman_rho_pressure_change_heat_vs_adsorption,bootstrap_95_low_rho,bootstrap_95_high_rho,direction_concordance_fraction
functional_motif_change,landfill_CH4,338.0,absolute_log_difference,0.01,4.4,6,0.06084149999999999,0.08439799999999975,0.025044499999999914,0.03351666846308943,0.011972629566909032,-0.022758804649217285,,,,0.0
functional_motif_change,landfill_CH4,338.0,standardized_absolute_difference,0.01,4.4,6,0.06084149999999999,0.08439799999999975,0.025044499999999914,0.06253523378180367,0.04487325697988237,-0.021426265430440086,,,,0.3333333333333333
functional_motif_change,landfill_CO2,338.0,absolute_log_difference,0.26,3.2,6,0.14723550000000007,0.6971610000000001,0.35729600000000006,0.2223173262341287,0.05734428027686467,-0.13549802898751118,,,,0.0
functional_motif_change,landfill_CO2,338.0,standardized_absolute_difference,0.26,3.2,6,0.14723550000000007,0.6971610000000001,0.35729600000000006,0.18698433381463947,0.0976247065455917,-0.06725919524320548,,,,0.16666666666666666
functional_motif_change,methane_purification_CH4,298.0,absolute_log_difference,0.9,9.0,6,0.12306749999999989,0.210248,0.10822699999999985,0.045252609004969524,0.01666843591703482,-0.031231785192466055,,,,0.16666666666666666
functional_motif_change,methane_purification_CH4,298.0,standardized_absolute_difference,0.9,9.0,6,0.12306749999999989,0.210248,0.10822699999999985,0.05092049547993242,0.06102635866461306,-0.009790213782975166,,,,0.16666666666666666
functional_motif_change,methane_purification_CO2,298.0,absolute_log_difference,0.1,1.0,6,0.22662600000000044,0.3173089999999996,0.0616664999999994,0.07476545611940932,0.04160134972303148,-0.030502934928125114,,,,0.3333333333333333
functional_motif_change,methane_purification_CO2,298.0,standardized_absolute_difference,0.1,1.0,6,0.22662600000000044,0.3173089999999996,0.0616664999999994,0.05572290085954421,0.058525519584133066,0.010446668042265309,,,,0.3333333333333333
functional_motif_change,methane_storage_CH4,298.0,absolute_log_difference,5.8,65.0,6,0.0554110000000001,0.019618499999999983,-0.02290800000000015,0.01819604907596095,0.010646978326072976,-0.011166588423204726,,,,0.16666666666666666
functional_motif_change,methane_storage_CH4,298.0,standardized_absolute_difference,5.8,65.0,6,0.0554110000000001,0.019618499999999983,-0.02290800000000015,0.03876744949821063,0.02691675482078998,-0.019347658283083533,,,,0.16666666666666666
functional_motif_change,post_combustion_CO2,298.0,absolute_log_difference,0.015,0.15,6,0.24130100000000043,0.4350229999999997,-0.06614399999999998,0.13844993359172908,0.06028528581637865,-0.0754474625269882,,,,0.8333333333333334
functional_motif_change,post_combustion_CO2,298.0,standardized_absolute_difference,0.015,0.15,6,0.24130100000000043,0.4350229999999997,-0.06614399999999998,0.13746495054141655,0.029307841728739487,-0.09018536668342227,,,,0.6666666666666666
functional_motif_change,post_combustion_N2,298.0,absolute_log_difference,0.075,0.75,6,0.10648999999999997,0.09111750000000018,0.024733000000000338,0.044323178524242834,0.0312029921617355,-0.005485508985233589,,,,0.16666666666666666
functional_motif_change,post_combustion_N2,298.0,standardized_absolute_difference,0.075,0.75,6,0.10648999999999997,0.09111750000000018,0.024733000000000338,0.2542951575262541,0.15885414884516727,-0.031319794766193204,,,,0.16666666666666666
functional_motif_change,pre_combustion_CO2,313.0,absolute_log_difference,0.4,16.0,6,0.30248300000000006,0.3140099999999997,0.11490749999999972,0.22547050632322257,0.02370666145245548,-0.1885410783000836,,,,0.3333333333333333
functional_motif_change,pre_combustion_CO2,313.0,standardized_absolute_difference,0.4,16.0,6,0.30248300000000006,0.3140099999999997,0.11490749999999972,0.157712369490753,0.09475152482451704,-0.06296084466623597,,,,0.5
functional_motif_change,pre_combustion_H2,313.0,absolute_log_difference,0.6,24.0,6,0.027448999999999946,0.5041599999999999,0.47671100000000005,0.016821380973570665,0.018381755180193082,-0.0027036133323885825,,,,0.3333333333333333
