intervention,process,metric,groups,statistic,estimate,bootstrap_95_low,bootstrap_95_high
functional_motif_change,landfill-gas-vpsa,absolute_uptake_difference,6,equal_weight_group_median,0.17618600000000018,0.10280149999999999,0.39677949999999984
functional_motif_change,landfill-gas-vpsa,absolute_working_capacity_difference,6,equal_weight_group_median,0.1705414999999999,0.05535500000000004,0.3353870000000001
functional_motif_change,landfill-gas-vpsa,absolute_selectivity_difference,6,equal_weight_group_median,0.1398520000000001,0.06264500000000006,0.321388
functional_motif_change,landfill-gas-vpsa,working_capacity_change_oriented_by_uptake,6,equal_weight_group_median,0.1705414999999999,0.05535500000000004,0.3353870000000001
functional_motif_change,landfill-gas-vpsa,selectivity_change_oriented_by_uptake,6,equal_weight_group_median,0.1398520000000001,0.06264500000000006,0.321388
functional_motif_change,landfill-gas-vpsa,uptake_working_capacity_concordant,6,equal_weight_group_mean,1.0,1.0,1.0
functional_motif_change,landfill-gas-vpsa,uptake_selectivity_concordant,6,equal_weight_group_mean,1.0,1.0,1.0
functional_motif_change,methane-storage-psa,absolute_uptake_difference,6,equal_weight_group_median,0.18142850000000088,0.05151549999999894,0.29703450000000053
functional_motif_change,methane-storage-psa,absolute_working_capacity_difference,6,equal_weight_group_median,0.1142824999999994,0.05444199999999988,0.2950115000000011
functional_motif_change,methane-storage-psa,absolute_selectivity_difference,0,equal_weight_group_median,,,
functional_motif_change,methane-storage-psa,working_capacity_change_oriented_by_uptake,6,equal_weight_group_median,0.01804999999999879,-0.10448249999999915,0.2950115000000011
functional_motif_change,methane-storage-psa,selectivity_change_oriented_by_uptake,0,equal_weight_group_median,,,
functional_motif_change,methane-storage-psa,uptake_working_capacity_concordant,6,equal_weight_group_mean,0.5,0.16666666666666666,0.8333333333333334
functional_motif_change,methane-storage-psa,uptake_selectivity_concordant,0,equal_weight_group_mean,,,
functional_motif_change,natural-gas-purification,absolute_uptake_difference,6,equal_weight_group_median,0.085843,0.04957450000000008,0.11875150000000012
functional_motif_change,natural-gas-purification,absolute_working_capacity_difference,6,equal_weight_group_median,0.09172599999999986,0.04460400000000009,0.1331825000000002
functional_motif_change,natural-gas-purification,absolute_selectivity_difference,6,equal_weight_group_median,0.1761254999999997,0.06414300000000006,0.3498795000000001
functional_motif_change,natural-gas-purification,working_capacity_change_oriented_by_uptake,6,equal_weight_group_median,0.09172599999999986,0.0338449999999999,0.1331825000000002
