intervention,effect_measure,target,T/K,p/bar,common_support_cells,median_chemistry_minus_control,bootstrap_95_low,bootstrap_95_high,positive_cell_fraction
functional_motif_change,absolute_log_difference,landfill_CH4,338.0,0.01,5,-0.014221342221972577,-0.06381936029426472,0.05064433696555515,0.2
functional_motif_change,absolute_log_difference,landfill_CH4,338.0,4.4,5,-0.017661312815074943,-0.020947300867107888,0.007536677785562718,0.2
functional_motif_change,absolute_log_difference,landfill_CO2,338.0,0.26,5,0.12210187454287791,0.0009822120040464677,0.17409853479748638,1.0
functional_motif_change,absolute_log_difference,landfill_CO2,338.0,3.2,5,0.009310382447950571,-0.0008960652550785708,0.0468698304235734,0.8
functional_motif_change,absolute_log_difference,methane_purification_CH4,298.0,0.9,5,0.009510585328640908,-0.0323366724718408,0.046142746199134166,0.6
functional_motif_change,absolute_log_difference,methane_purification_CH4,298.0,9.0,5,-0.006219045404514678,-0.013730394431614057,0.029234157713716513,0.2
functional_motif_change,absolute_log_difference,methane_purification_CO2,298.0,0.1,5,-0.0021939475670060826,-0.08820514416166131,0.15794035028395548,0.4
functional_motif_change,absolute_log_difference,methane_purification_CO2,298.0,1.0,5,-0.03363718254877493,-0.05455219241411535,-0.018049257602414437,0.0
functional_motif_change,absolute_log_difference,methane_storage_CH4,298.0,5.8,5,-0.004819266068644579,-0.016389057303499044,0.05938770120562653,0.4
functional_motif_change,absolute_log_difference,methane_storage_CH4,298.0,65.0,5,-0.00440693001186121,-0.007323885065298352,0.0025663846183725525,0.2
functional_motif_change,absolute_log_difference,post_combustion_CO2,298.0,0.015,5,-0.012667975947126875,-0.10548558983469558,0.08103450991735861,0.4
functional_motif_change,absolute_log_difference,post_combustion_CO2,298.0,0.15,5,-0.027952286780372315,-0.13162116833717158,0.018992918396123826,0.4
functional_motif_change,absolute_log_difference,post_combustion_N2,298.0,0.075,5,-0.003034653191410497,-0.0433493325417722,0.07604387923195688,0.4
functional_motif_change,absolute_log_difference,post_combustion_N2,298.0,0.75,5,-0.011373398642135601,-0.03509718656556993,0.0477168511574112,0.4
functional_motif_change,absolute_log_difference,pre_combustion_CO2,313.0,0.4,5,0.04091401992977742,-0.09398507057670236,0.19488023171162067,0.8
functional_motif_change,absolute_log_difference,pre_combustion_CO2,313.0,16.0,5,-0.011408209692019167,-0.02563030264425903,0.030491210918422773,0.4
functional_motif_change,absolute_log_difference,pre_combustion_H2,313.0,0.6,5,-0.0077023048190345555,-0.019324825355713227,0.0395997471097036,0.4
functional_motif_change,absolute_log_difference,pre_combustion_H2,313.0,24.0,5,-0.00973464237102073,-0.030575872962486622,0.1328269798771291,0.2
functional_motif_change,absolute_uptake_difference,landfill_CH4,338.0,0.01,5,-0.00026699999999999814,-0.0007004999999999997,0.0005485000000000012,0.2
functional_motif_change,absolute_uptake_difference,landfill_CH4,338.0,4.4,5,-0.0244915,-0.03370099999999998,0.01113900000000001,0.2
functional_motif_change,absolute_uptake_difference,landfill_CO2,338.0,0.26,5,0.03661900000000007,0.010101500000000055,0.04475900000000002,1.0
functional_motif_change,absolute_uptake_difference,landfill_CO2,338.0,3.2,5,0.04088149999999979,0.012108000000000008,0.169972,1.0
functional_motif_change,absolute_uptake_difference,methane_purification_CH4,298.0,0.9,5,0.0005815000000000958,-0.017235,0.03356899999999996,0.6
functional_motif_change,absolute_uptake_difference,methane_purification_CH4,298.0,9.0,5,-0.03743549999999951,-0.07606750000000018,0.1540689999999998,0.2
functional_motif_change,absolute_uptake_difference,methane_purification_CO2,298.0,0.1,5,0.0014760000000000328,-0.030646000000000007,0.0385105,0.6
functional_motif_change,absolute_uptake_difference,methane_purification_CO2,298.0,1.0,5,-0.039143999999999846,-0.1325565000000002,-0.010625999999999913,0.0
functional_motif_change,absolute_uptake_difference,methane_storage_CH4,298.0,5.8,5,-0.014568000000000136,-0.04904749999999991,0.18568550000000017,0.4
functional_motif_change,absolute_uptake_difference,methane_storage_CH4,298.0,65.0,5,-0.049490000000002254,-0.08729999999999727,0.005867500000002579,0.2
functional_motif_change,absolute_uptake_difference,post_combustion_CO2,298.0,0.015,5,0.00042650000000000673,-0.004677999999999991,0.004464999999999997,0.6
functional_motif_change,absolute_uptake_difference,post_combustion_CO2,298.0,0.15,5,-0.01741349999999997,-0.06482849999999989,0.012625000000000011,0.2
functional_motif_change,absolute_uptake_difference,post_combustion_N2,298.0,0.075,5,-2.5500000000001216e-05,-0.0014785000000000006,0.0022460000000000015,0.4
functional_motif_change,absolute_uptake_difference,post_combustion_N2,298.0,0.75,5,-0.0017600000000000116,-0.006612999999999994,0.008899999999999977,0.4
functional_motif_change,absolute_uptake_difference,pre_combustion_CO2,313.0,0.4,5,0.036408500000000066,-0.04360900000000001,0.19383000000000006,0.8
functional_motif_change,absolute_uptake_difference,pre_combustion_CO2,313.0,16.0,5,-0.1173474999999975,-0.3861270000000019,0.49538100000000007,0.4
functional_motif_change,absolute_uptake_difference,pre_combustion_H2,313.0,0.6,5,-0.0005939999999999904,-0.0008389999999999995,0.004409000000000003,0.4
functional_motif_change,absolute_uptake_difference,pre_combustion_H2,313.0,24.0,5,-0.008382000000000112,-0.024580000000000046,0.02845700000000001,0.4
functional_motif_change,standardized_absolute_difference,landfill_CH4,338.0,0.01,5,-0.047979619022245554,-0.1258791128280271,0.09856487278540049,0.2
functional_motif_change,standardized_absolute_difference,landfill_CH4,338.0,4.4,5,-0.05977121734501477,-0.08224689364654438,0.02718459833028275,0.2
functional_motif_change,standardized_absolute_difference,landfill_CO2,338.0,0.26,5,0.10823697570317091,0.029857609712596864,0.1322968621616707,1.0
functional_motif_change,standardized_absolute_difference,landfill_CO2,338.0,3.2,5,0.022652449346960493,0.00670904582006529,0.0941815275956506,1.0
functional_motif_change,standardized_absolute_difference,methane_purification_CH4,298.0,0.9,5,0.0011783774324094776,-0.034925769643291714,0.06802571286078664,0.6
functional_motif_change,standardized_absolute_difference,methane_purification_CH4,298.0,9.0,5,-0.027403227254931023,-0.055682306613094465,0.11278032402238564,0.2
functional_motif_change,standardized_absolute_difference,methane_purification_CO2,298.0,0.1,5,0.003390370652899502,-0.07039383403032243,0.0884585833526311,0.6
functional_motif_change,standardized_absolute_difference,methane_purification_CO2,298.0,1.0,5,-0.02668735876660061,-0.09037356612366931,-0.007244529793937686,0.0
functional_motif_change,standardized_absolute_difference,methane_storage_CH4,298.0,5.8,5,-0.009425697071639125,-0.031734409467409026,0.12014108138356888,0.4
functional_motif_change,standardized_absolute_difference,methane_storage_CH4,298.0,65.0,5,-0.007342342554124352,-0.012951838855829598,0.0008705030296290509,0.2
functional_motif_change,standardized_absolute_difference,post_combustion_CO2,298.0,0.015,5,0.0057327467884927125,-0.06287875609980885,0.060015743049518344,0.6
functional_motif_change,standardized_absolute_difference,post_combustion_CO2,298.0,0.15,5,-0.02429727448610554,-0.09045601740158453,0.017615820506336068,0.2
functional_motif_change,standardized_absolute_difference,post_combustion_N2,298.0,0.075,5,-0.004013943990665347,-0.23273004667444833,0.3535418903150565,0.4
functional_motif_change,standardized_absolute_difference,post_combustion_N2,298.0,0.75,5,-0.053447390932421276,-0.20082249786142,0.27027373823780965,0.4
functional_motif_change,standardized_absolute_difference,pre_combustion_CO2,313.0,0.4,5,0.03478303760001267,-0.04166207030498235,0.185176433470493,0.8
functional_motif_change,standardized_absolute_difference,pre_combustion_CO2,313.0,16.0,5,-0.019455342256553057,-0.06401698322926574,0.08213048341373883,0.4
functional_motif_change,standardized_absolute_difference,pre_combustion_H2,313.0,0.6,5,-0.020583912917830335,-0.029073910670134546,0.15278530648942004,0.4
functional_motif_change,standardized_absolute_difference,pre_combustion_H2,313.0,24.0,5,-0.015661083571906625,-0.04592572586464571,0.05316958425265342,0.4
linker_family_change,absolute_log_difference,landfill_CH4,338.0,0.01,62,0.019998290780621097,0.010325039996423424,0.029243940859176476,0.7258064516129032
linker_family_change,absolute_log_difference,landfill_CH4,338.0,4.4,62,0.010778917179096955,0.004343968026249173,0.015701977841976952,0.7741935483870968
linker_family_change,absolute_log_difference,landfill_CO2,338.0,0.26,62,0.033674963209551434,0.019319794364780485,0.044550812399166334,0.7580645161290323
linker_family_change,absolute_log_difference,landfill_CO2,338.0,3.2,62,0.017657414524003656,0.010880136253945794,0.02700705514209012,0.8225806451612904
linker_family_change,absolute_log_difference,methane_purification_CH4,298.0,0.9,62,0.025000976001140054,0.013381024134988928,0.03622845364340313,0.7419354838709677
linker_family_change,absolute_log_difference,methane_purification_CH4,298.0,9.0,62,0.008955928558671,0.006254250565063346,0.01137543195971924,0.7258064516129032
linker_family_change,absolute_log_difference,methane_purification_CO2,298.0,0.1,62,0.03435170087324574,0.026620724269218465,0.049457893865509465,0.7258064516129032
linker_family_change,absolute_log_difference,methane_purification_CO2,298.0,1.0,62,0.021453271909624066,0.014225571230382462,0.03051424026175542,0.7419354838709677
linker_family_change,absolute_log_difference,methane_storage_CH4,298.0,5.8,62,0.016504992572530464,0.012920684189551057,0.02772430401845677,0.8064516129032258
linker_family_change,absolute_log_difference,methane_storage_CH4,298.0,65.0,62,0.008384602035910405,0.005419071474628612,0.01085300511067333,0.7258064516129032
