intervention,target,T/K,p/bar,effect_measure,common_support_cells,chemistry_pairs,control_pairs,median_chemistry_minus_control,bootstrap_95_low,bootstrap_95_high,positive_cell_fraction,control_status
functional_motif_change,landfill_CH4,338.0,0.01,absolute_uptake_difference,5,6,4585,-0.0002020000000000008,-0.0007520000000000009,0.0005260000000000022,0.2,crosses_zero
functional_motif_change,landfill_CH4,338.0,0.01,absolute_log_difference,5,6,4585,-0.02570316383357074,-0.06671939697613105,0.047137996926274184,0.2,crosses_zero
functional_motif_change,landfill_CH4,338.0,0.01,standardized_absolute_difference,5,6,4585,-0.03629918742507007,-0.13513360863194365,0.09452164646330129,0.2,crosses_zero
functional_motif_change,landfill_CH4,338.0,4.4,absolute_uptake_difference,5,6,4585,-0.024580000000000046,-0.04320349999999995,0.006018999999999997,0.2,crosses_zero
functional_motif_change,landfill_CH4,338.0,4.4,absolute_log_difference,5,6,4585,-0.01786948855738335,-0.02787083251739423,0.005504139696537624,0.2,crosses_zero
functional_motif_change,landfill_CH4,338.0,4.4,standardized_absolute_difference,5,6,4585,-0.059987200552863884,-0.10543763299778872,0.014689298621956323,0.2,crosses_zero
functional_motif_change,landfill_CO2,338.0,0.26,absolute_uptake_difference,5,6,4585,0.028555499999999984,0.014034000000000046,0.04744300000000001,1.0,above_control
functional_motif_change,landfill_CO2,338.0,0.26,absolute_log_difference,5,6,4585,0.11453054699688223,0.02298179882149909,0.17770093709544144,1.0,above_control
functional_motif_change,landfill_CO2,338.0,0.26,standardized_absolute_difference,5,6,4585,0.0844032048852205,0.041481135940858636,0.14023012202095986,1.0,above_control
functional_motif_change,landfill_CO2,338.0,3.2,absolute_uptake_difference,5,6,4585,0.043613000000000124,0.016253000000000295,0.13471100000000025,1.0,above_control
functional_motif_change,landfill_CO2,338.0,3.2,absolute_log_difference,5,6,4585,0.007735709630409371,-0.005233350918783408,0.0466200497013487,0.8,crosses_zero
functional_motif_change,landfill_CO2,338.0,3.2,standardized_absolute_difference,5,6,4585,0.02416597417827125,0.009005791353941459,0.07464339870059604,1.0,above_control
functional_motif_change,methane_purification_CH4,298.0,0.9,absolute_uptake_difference,5,6,4585,0.007048000000000054,-0.017954499999999984,0.037558999999999954,0.6,crosses_zero
functional_motif_change,methane_purification_CH4,298.0,0.9,absolute_log_difference,5,6,4585,0.018446030968992444,-0.02826000460734196,0.045850939372582,0.6,crosses_zero
functional_motif_change,methane_purification_CH4,298.0,0.9,standardized_absolute_difference,5,6,4585,0.014282380298573934,-0.03638379640617816,0.07611122611153998,0.6,crosses_zero
functional_motif_change,methane_purification_CH4,298.0,9.0,absolute_uptake_difference,5,6,4585,-0.05087999999999937,-0.09425499999999998,0.10774899999999965,0.2,crosses_zero
functional_motif_change,methane_purification_CH4,298.0,9.0,absolute_log_difference,5,6,4585,-0.00883664874805179,-0.02189946647873442,0.015712866092829958,0.2,crosses_zero
functional_motif_change,methane_purification_CH4,298.0,9.0,standardized_absolute_difference,5,6,4585,-0.037244759726219545,-0.06899577099046511,0.07887353804521352,0.2,crosses_zero
functional_motif_change,methane_purification_CO2,298.0,0.1,absolute_uptake_difference,5,6,4585,-0.0006520000000000137,-0.020705999999999974,0.040022,0.4,crosses_zero
functional_motif_change,methane_purification_CO2,298.0,0.1,absolute_log_difference,5,6,4585,-0.019396859560282975,-0.068723883822707,0.14713863602227428,0.4,crosses_zero
functional_motif_change,methane_purification_CO2,298.0,0.1,standardized_absolute_difference,5,6,4585,-0.0014976434049393458,-0.04756166310225981,0.09193049747313074,0.4,crosses_zero
functional_motif_change,methane_purification_CO2,298.0,1.0,absolute_uptake_difference,5,6,4585,-0.05427549999999992,-0.14342699999999953,-0.002545999999999937,0.0,below_control
functional_motif_change,methane_purification_CO2,298.0,1.0,absolute_log_difference,5,6,4585,-0.04112940892828451,-0.0559224354408156,-0.005787667987046857,0.0,below_control
functional_motif_change,methane_purification_CO2,298.0,1.0,standardized_absolute_difference,5,6,4585,-0.03700362100798679,-0.09778478964380818,-0.0017357964290763278,0.0,below_control
functional_motif_change,methane_storage_CH4,298.0,5.8,absolute_uptake_difference,5,6,4585,-0.030904000000000043,-0.04401900000000003,0.18848799999999954,0.4,crosses_zero
