intervention,target,T/K,p/bar,effect_measure,scenario,groups,median_effect,bootstrap_95_low,bootstrap_95_high
linker_family_change,landfill_CH4,338.0,0.01,absolute_log_difference,all_groups,3494,0.08102741782586409,0.07845256879649876,0.08387483359989911
linker_family_change,landfill_CH4,338.0,0.01,absolute_log_difference,exclude_largest,3493,0.08105908523491134,0.07847765445831811,0.08387483359989911
linker_family_change,landfill_CH4,338.0,0.01,absolute_log_difference,exclude_top_10,3484,0.08108773275005055,0.07848428192081758,0.08392581151820266
linker_family_change,landfill_CH4,338.0,4.4,absolute_log_difference,all_groups,3494,0.04995749772558977,0.048007758642870234,0.05184542369091946
linker_family_change,landfill_CH4,338.0,4.4,absolute_log_difference,exclude_largest,3493,0.04995344279942571,0.04800530932199969,0.051795485144383924
linker_family_change,landfill_CH4,338.0,4.4,absolute_log_difference,exclude_top_10,3484,0.04994280942299764,0.04799547471496798,0.05184542369091946
linker_family_change,landfill_CO2,338.0,0.26,absolute_log_difference,all_groups,3494,0.13750859749525857,0.13389197078365106,0.14195024231871822
linker_family_change,landfill_CO2,338.0,0.26,absolute_log_difference,exclude_largest,3493,0.1374894145916131,0.13382269191686158,0.14163561602614694
linker_family_change,landfill_CO2,338.0,0.26,absolute_log_difference,exclude_top_10,3484,0.1374682773918124,0.13376228627450815,0.14155676666828598
linker_family_change,landfill_CO2,338.0,3.2,absolute_log_difference,all_groups,3494,0.07309168006986524,0.07016078273839071,0.07604005892680094
linker_family_change,landfill_CO2,338.0,3.2,absolute_log_difference,exclude_largest,3493,0.07308302725476956,0.07018447666104544,0.07603365132888396
linker_family_change,landfill_CO2,338.0,3.2,absolute_log_difference,exclude_top_10,3484,0.07309168006986524,0.07018447666104544,0.0760399931062945
linker_family_change,methane_purification_CH4,298.0,0.9,absolute_log_difference,all_groups,3494,0.07515671222539677,0.07197757410538505,0.07746519898534787
linker_family_change,methane_purification_CH4,298.0,0.9,absolute_log_difference,exclude_largest,3493,0.075122472173979,0.07197237012948365,0.07746519898534787
linker_family_change,methane_purification_CH4,298.0,0.9,absolute_log_difference,exclude_top_10,3484,0.07500392353938914,0.07191111410893114,0.0773273726643032
linker_family_change,methane_purification_CH4,298.0,9.0,absolute_log_difference,all_groups,3494,0.046903353267251646,0.045480619453204474,0.04838147163785633
linker_family_change,methane_purification_CH4,298.0,9.0,absolute_log_difference,exclude_largest,3493,0.04689792741003396,0.04552182621363632,0.04842447200826805
linker_family_change,methane_purification_CH4,298.0,9.0,absolute_log_difference,exclude_top_10,3484,0.04689333173831012,0.045501222833420396,0.0484269313241672
linker_family_change,methane_purification_CO2,298.0,0.1,absolute_log_difference,all_groups,3494,0.14488558747986485,0.13941964161840303,0.1511627578364001
linker_family_change,methane_purification_CO2,298.0,0.1,absolute_log_difference,exclude_largest,3493,0.1448351281280308,0.139389738412718,0.1511627578364001
linker_family_change,methane_purification_CO2,298.0,0.1,absolute_log_difference,exclude_top_10,3484,0.14488558747986485,0.13938824530669064,0.1511783364762859
linker_family_change,methane_purification_CO2,298.0,1.0,absolute_log_difference,all_groups,3494,0.09297059992867984,0.08959228467933161,0.09641386331392618
linker_family_change,methane_purification_CO2,298.0,1.0,absolute_log_difference,exclude_largest,3493,0.09294665470753953,0.08958298940045861,0.09651513359669506
linker_family_change,methane_purification_CO2,298.0,1.0,absolute_log_difference,exclude_top_10,3484,0.09292414426394965,0.08959353957896576,0.09651513359669506
