quantity,intervention,comparison,guest_class,regime,T/K,CO2_target,coguest_target,CO2_pressure_bar,coguest_pressure_bar,measure,paired_groups,status,median_CO2,median_coguest,median_paired_difference_CO2_minus_coguest,median_bootstrap_95_low,median_bootstrap_95_high,mean_paired_difference_CO2_minus_coguest,mean_bootstrap_95_low,mean_bootstrap_95_high,fraction_groups_CO2_greater,fraction_bootstrap_95_low,fraction_bootstrap_95_high
adsorption_separation,linker_family_change,landfill_CO2_vs_CH4,CO2_vs_CH4,low,338.0,landfill_CO2,landfill_CH4,0.26,0.01,absolute_log_difference,3494,OK,0.1375085974952585,0.081027417825864,0.0502605079468777,0.0440869211778744,0.0551111952623262,0.0670775442747266,0.0622951290229416,0.0718143420623876,0.6900400686891814,0.6742987979393246,0.7054951345163136
adsorption_separation,linker_family_change,landfill_CO2_vs_CH4,CO2_vs_CH4,low,338.0,landfill_CO2,landfill_CH4,0.26,0.01,standardized_absolute_difference,3494,OK,0.1601186921693174,0.2027004129479152,-0.0206247704515964,-0.0271466956589081,-0.0133836049281747,0.0361917107446972,0.0229072857400766,0.0493461004937033,0.4516313680595306,0.434745277618775,0.4682312535775615
heat_contrast,linker_family_change,landfill_CO2_vs_CH4,CO2_vs_CH4,low,338.0,landfill_CO2,landfill_CH4,0.26,0.01,absolute_hoa_difference,3494,OK,0.2955139999999998,0.1158485,0.1612259999999998,0.1503704999999999,0.1701586562500003,0.2152638133943903,0.205870506861763,0.2251397908056668,0.797366914710933,0.7839152833428735,0.8108185460789925
adsorption_separation,linker_family_change,landfill_CO2_vs_CH4,CO2_vs_CH4,high,338.0,landfill_CO2,landfill_CH4,3.2,4.4,absolute_log_difference,3494,OK,0.0730916800698652,0.0499574977255897,0.0198544446454137,0.0172640585284977,0.0220542476739025,0.0213667465194054,0.0180926482780842,0.0246704966090074,0.6376645678305667,0.6213508872352604,0.6536920435031482
adsorption_separation,linker_family_change,landfill_CO2_vs_CH4,CO2_vs_CH4,high,338.0,landfill_CO2,landfill_CH4,3.2,4.4,standardized_absolute_difference,3494,OK,0.1438990036258859,0.1894819462215172,-0.0382608734358757,-0.0441109099074416,-0.032699959329807,-0.0608670669672837,-0.0690926813148572,-0.0528301565364618,0.386090440755581,0.3697767601602748,0.4024041213508872
heat_contrast,linker_family_change,landfill_CO2_vs_CH4,CO2_vs_CH4,high,338.0,landfill_CO2,landfill_CH4,3.2,4.4,absolute_hoa_difference,3494,OK,0.4362425000000001,0.22801525,0.1432459999999999,0.1282875000000001,0.1573789999999997,0.186057594304522,0.1692818843875214,0.2031823103105323,0.6846021751574127,0.6688609044075559,0.6997710360618202
adsorption_separation,linker_family_change,methane_purification_CO2_vs_CH4,CO2_vs_CH4,low,298.0,methane_purification_CO2,methane_purification_CH4,0.1,0.9,absolute_log_difference,3494,OK,0.1448855874798648,0.0751567122253967,0.0592760626086179,0.0539761205042933,0.0641770794823329,0.0807578064131208,0.075809689202382,0.0855669396903178,0.7203777904979966,0.7057813394390383,0.7355466514024042
adsorption_separation,linker_family_change,methane_purification_CO2_vs_CH4,CO2_vs_CH4,low,298.0,methane_purification_CO2,methane_purification_CH4,0.1,0.9,standardized_absolute_difference,3494,OK,0.1296805289738592,0.1257216252715194,0.0044009359462061,0.0004178010424675,0.0087583649082421,0.0662840161293095,0.0550452244013833,0.0776773079392236,0.5186033199771036,0.5022896393817974,0.5352032054951346
heat_contrast,linker_family_change,methane_purification_CO2_vs_CH4,CO2_vs_CH4,low,298.0,methane_purification_CO2,methane_purification_CH4,0.1,0.9,absolute_hoa_difference,3494,OK,0.3607090000000001,0.1557210000000001,0.1775339999999996,0.1654621124999998,0.1889869999999995,0.2366158732112192,0.224240016717945,0.2490586696765884,0.7552947910704064,0.7412707498568976,0.76960503720664
adsorption_separation,linker_family_change,methane_purification_CO2_vs_CH4,CO2_vs_CH4,high,298.0,methane_purification_CO2,methane_purification_CH4,1.0,9.0,absolute_log_difference,3494,OK,0.0929705999286798,0.0469033532672516,0.0410393781112782,0.0379549666389797,0.044283294589804,0.0550835829496092,0.051777594214908,0.0584407054567311,0.7355466514024042,0.7209502003434459,0.750429307384087
adsorption_separation,linker_family_change,methane_purification_CO2_vs_CH4,CO2_vs_CH4,high,298.0,methane_purification_CO2,methane_purification_CH4,1.0,9.0,standardized_absolute_difference,3494,OK,0.1576598807249392,0.1649791695437515,-0.0072377229539016,-0.0140945359331561,-0.0017255137977821,0.0089119724852634,0.0012944373872184,0.0171201684183884,0.4762449914138523,0.4599313108185461,0.4931310818546079
heat_contrast,linker_family_change,methane_purification_CO2_vs_CH4,CO2_vs_CH4,high,298.0,methane_purification_CO2,methane_purification_CH4,1.0,9.0,absolute_hoa_difference,3494,OK,0.5627070000000001,0.2641774999999999,0.2245784999999998,0.2108704999999997,0.2443772374999999,0.289100044361763,0.2670884551695764,0.3119030678520321,0.7263880938752146,0.7115054378935318,0.7409845449341729
